Numero de fournisseur|Nom adresse|ID iValua du site fournisseur|UO
89528|FRA67000|20356|DCW0001
55626|FRA77437|22253|DCW0001
31978|FRA69570|20549|DSW0001
56514|FRA54180COAXEL|17928|DOS0119
4515|FRA44400|96273|DLS0001
49773|FRA42000|64301|DMS0001
4289|FRA72230|64758|DLS0001
S00109987|FRA38530|109938|DMS0502
35964|FRA71200 CEDEO |21032|DMS0001
83265|FRA76190|104080|DSW0001
16687|FRA67460|85808|DCW0348
110743|FRA31770|89344|DNA0514
S00064602|FRA31000|65021|DNA0001
S00055714|FRA69800|54289|DMS0001
36267|FRA08400|22975|DRW0001
S00129855|FRA57300|127618|DCW0630
49773|FRA17220|126488|DNA0001
60744|FRA69800|44450|DLS0245
61982|FRA37210|63193|DLS0198
50641|FRA62003|19578|DNA0001
8308|FRA92737|23819|DRW0001
56514|FRA69150|20751|DMS0001
S00048427|FRA95220|48428|DRW0001
6403|FRA62880|31958|DSW0001
7020|FRA69191|20604|DMS0001
7552|FRA28300|125709|DLS0001
27473|FRA83130|22794|DEW0001
110277|FRA82290|104319|DNA0001
1239|FRA51100|90939|DCW0306
56514|FRA63100|47090|DMS0001
17519|FRA07300|21196|DSW0001
16687|FRA51432|52625|DEW0800
56514|FRA59650REXEL|18494|DSW0523
S00129855|FRA38400|127612|DMS0502
S00075376|FRA13010|75371|DEW0001
107147|FRA37310CHE|88948|DLS0001
35927|FRA76230|21775|DOS0119
S00056014|FRA62223|56021|DSW0001
S00103152|FRA92130|103128|DSW0373
S00064602|FRA06700|65038|DEW0001
47199|FRA50440|17565|DSW0373
19075|FRA34500|16064|DEW0001
56514|FRA67118|20143|DCW0001
56514|FRA34070-A|16119|DEW0001
16687|FRA59700|52642|DSW0001
56514|FRA64140|19969|DNA0001
24953|FRA69320|20769|DMS0001
13093|FRA33270|15856|DNA0001
S00064602|FRA38100|65024|DMS0001
56514|FRA42000|16953|DMS0001
3607|FRA35770|29573|DRW0001
24468|FRA86000|23094|DNA0001
14856|FRA95500|24446|DEW0001
56514|FRA50110|17588|DOS0119
3907|FRA92230|23716|DNA0001
8308|FRA21300|14649|DMS0001
36005|FRA34500|79052|DEW0001
105300|FRA80100|22610|DSW0001
24468|FRA74960|112885|DMS0441
S00128877|FRA21310|128307|DMS0001
6956|FRA38430|51243|DMS0001
13478|FRA13007|14208|DEW0001
35631|FRA42160|16903|DMS0441
35964|FRA76306 CEDEO |22134|DSW0001
S00129855|FRA59115|127621|DSW0001
S00087817|FRA11100|85883|DEW0001
90026|FRA75016|21677|DRW0326
S00110114|FRA01190|110272|DCW0001
28565|FRA91160|29447|DRW0001
25171|FRA14320|14439|DNA0514
4083|FRA13014|14269|DMS0001
62798|FRA69200|20658|DRW0001
24468|FRA38400|112899|DMS0441
16687|FRA51430|17816|DMS0441
35964|FRA09100 CEDEO |23960|DNA0001
16556|FRA30900|15356|DEW0001
S00081400|FRA94230|110086|DRW0001
36150|FRA60000|19186|DRW0001
64746|FRA67118|20144|DRW0001
75361|FRA76000|117994|DSW0001
16353|FRA63220|31969|DLS0001
22418|FRA69290|32180|DRW0001
44691|FRA42900|16969|DMS0001
7062|FRA01120|13861|DRW0001
20798|FRA59175|19076|DSW0001
25171|FRA14320|14439|DMS0001
S00066400|FRA93100|66378|DMS0361
32375|FRA51420|17708|DOS0119
17032|FRA69960|20749|DMS0001
35631|FRA34500|16060|DEW0001
20227|FRA62860|31908|DSW0001
28498|FRA67120|112508|DSW0001
19965|FRA93420|24158|DRW0001
14370|FRA76730|21763|DSW0001
S00128785|FRA24700|128777|DEW0001
S00086308|FRA69200|85724|DCW0001
S00044771|FRA33185|110229|DSW0001
106339|FRA69130|12382|DNA0001
28565|FRA91160|29447|DRW0453
36267|FRA38630|16598|DMS0001
20798|FRA57280|18268|DCW0001
62798|FRA69200|20658|DMS0001
32375|FRA51420|17708|DRW0001
62798|FRA69200|20658|DSW0001
35806|FRA63000|19841|DMS0001
32375|FRA51420|17708|DSW0001
80524|FRA95100|24373|DRW0551
24468|FRA01000|112895|DMS0441
28026|FRA59185|31627|DEW0001
36298|FRA78310HA|33021|DRW0001
56514|FRA14000|14334|DSW0001
24544|FRA77127|32959|DRW0608
77124|FRA67720|120414|DNA0001
56514|FRA73000|114541|DMS0001
81982|FRA94460|44669|DRW0001
3979|FRA95380|24472|DCW0388
20798|FRA54710|88934|DCW0402
55144|FRA69530|20490|DRW0001
S00066578|FRA81120|66582|DNA0001
18900|FRA69680|20731|DMS0001
85545|FRA76650|45179|DSW0373
18773|FRA76087|34023|DRW0001
72612|FRA91940ULI|98797|DLS0001
90026|FRA75016|21677|DRW0218
24468|FRA13010|112886|DEW0001
18675|FRA38130|27548|DMS0001
20798|FRA38130|16610|DEW0800
56514|FRA26000A|128426|DMS0001
56514|FRA75017E|128459|DMS0441
32375|FRA51420|17708|DEW0001
14052|FRA95740|90361|DMS0001
18577|FRA13270|58807|DEW0476
3979|FRA95380|24472|DMS0001
44198|FRA33700|120856|DNA0001
4735|FRA94046|29692|DEW0001
S00113471|FRA44150|113456|DLS0001
5324|FRA92396|33647|DRW0001
104735|FRA94400|27717|DRW0001
14895|FRA60031|19209|DCW0306
S00084089|FRA75015|84088|DRW0001
29195|FRA34513|29359|DEW0691
101198|FRA93100|88632|DOS0490
59428|FRA74370|21286|DMS0001
35631|FRA38100-A|16634|DMS0001
25171|FRA37700|34794|DLS0001
88462|FRA67720|92064|DCW0348
S00106317|FRA69680|106292|DMS0441
80157|FRA28100|15174|DRW0001
35631|FRA71000|21057|DOS0119
16366|FRA29830|30349|DSW0001
4926|FRA59290|19146|DSW0001
56514|FRA38120|16686|DMS0441
18594|FRA38140|16676|DSW0001
32375|FRA51420|17708|DLS0001
56514|FRA34500|16063|DEW0001
15704|FRA31700|15416|DNA0001
20798|FRA72650|47207|DLS0001
68009|FRA60000HA|31720|DSW0001
16687|FRA51430|17816|DRW0551
24953|FRA64990|47755|DNA0001
56514|FRA59650A|128437|DSW0001
28154|FRA35136|16338|DLS0001
35964|FRA80136 CEDEO |22678|DSW0001
100836|FRA91080|23394|DNA0001
36337|FRA59118|19128|DSW0001
31978|FRA69570|20549|DCW0001
100344|FRA69490|29442|DCW0348
34348|FRA34430|16164|DEW0001
86891|FRA92220|53566|DRW0001
S00071979|FRA70290|71657|DCW0001
S00112684|FRA93130|112685|DEW0001
56514|FRA03000|15669|DMS0001
S00112684|FRA93130|112685|DCW0001
74331|FRA76290|12568|DSW0001
32995|FRA67300-A|20266|DCW0001
16687|FRA33185|78922|DNA0001
32995|FRA67300-A|20266|DMS0001
56514|FRA14000A|128417|DSW0001
S00066147|FRA91300|82264|DLS0001
1171|FRA84700|22962|DMS0001
14604|FRA25460|112944|DMS0001
29301|FRA69633|20666|DEW0001
S00129854|FRA34070|127631|DEW0001
24953|FRA34070|12422|DEW0001
88378|FRA87220|23152|DNA0001
36267|FRA77290|22274|DRW0001
S00064602|FRA33700|79478|DNA0001
987|FRA59226|19006|DNA0001
25777|FRA94290|24335|DRW0167
78356|FRA41000|16887|DLS0245
14856|FRA95500|24446|DNA0514
105922|FRA45220|17254|DLS0001
24468|FRA69007|112883|DMS0001
103202|FRA37210LAND|98693|DCW0001
27473|FRA94200|24604|DRW0001
24953|FRA34500|16066|DEW0001
24468|FRA12000|13846|DNA0691
25171|FRA75011FER|45818|DSW0001
56514|FRA74200|21279|DMS0001
84940|FRA57365|18270|DOS0119
35964|FRA42000 CLIM +|16957|DMS0441
87070|FRA87170|23155|DNA0001
25171|FRA14320|14439|DNA0001
24953|FRA76150|108618|DSW0001
104441|FRA51430|17815|DSW0156
4282|FRA77400|22240|DRW0001
35964|FRA74701 CEDEO |21268|DMS0441
S00068583|FRA13221|129047|DEW0001
25212|FRA93206|33710|DRW0001
15785|FRA59640|124127|DSW0330
20599|FRA95170|33855|DRW0001
4163|FRA67029|20315|DCW0348
56514|FRA51100A|128435|DCW0001
8308|FRA92737|23819|DNA0001
14658|FRA49000|97184|DSW0001
29301|FRA69633|20666|DEW0691
4515|FRA54180|44981|DCW0001
S00113206|FRA69720|113140|DMS0441
S00065483|FRA01120|102979|DMS0001
62465|FRA74460|21258|DMS0001
3907|FRA92230|23716|DMS0502
14895|FRA60031|19209|DNA0470
24468|FRA95500|119866|DRW0001
104398|FRA75008|21418|DNA0001
15995|FRA44115|74647|DLS0001
14895|FRA60031|19209|DMS0001
738|FRA26700|14951|DOS0119
25739|FRA59770|31602|DCW0693
15785|FRA59640|124127|DSW0525
4120|FRA75008|21389|DRW0414
S00081765|FRA50700|81762|DSW0373
56514|FRA13100A|128416|DEW0001
S00063207|FRA16600|67697|DNA0001
16920|FRA12510|53021|DNA0001
56514|FRA05000|17670|DEW0800
25784|FRA59800|18809|DOS0804
67312|FRA91940|23534|DRW0001
32656|FRA57600|31320|DCW0001
90210|FRA34000|16109|DEW0001
20798|FRA37170CLT|88818|DOS0119
37313|FRA95500|121936|DNA0397
12699|FRA95100HA|33833|DSW0001
35964|FRA42100 CEDEO |16954|DMS0001
7062|FRA01120|13861|DOS0119
60464|FRA57380PIEC|18266|DSW0001
S00074207|FRA78480|74208|DRW0001
4515|FRA69200|32219|DMS0441
35964|FRA31100 CLIM +|15548|DEW0001
89893|FRA60000|117675|DNA0790
86599|FRA33310|113141|DLS0001
25739|FRA59770|31602|DNA0001
S00094136|FRA33000|94120|DNA0001
16687|FRA51430|17816|DCW0479
S00121006|FRA40550|120980|DNA0001
20798|FRA80450|88714|DSW0001
36005|FRA77290|22272|DSW0001
S00129854|FRA54180|127639|DCW0001
29301|FRA69633|20666|DLS0001
110510|FRA54300|13018|DCW0001
20798|FRA44340|17026|DLS0001
35631|FRA73600|21184|DMS0441
17021|FRA06510|19265|DEW0001
68286|FRA78330|22411|DRW0001
82098|FRA24750|120136|DNA0001
63868|FRA54380|17909|DCW0001
24468|FRA22000|14772|DLS0001
35806|FRA69800|20831|DMS0001
46372|FRA37360|16480|DLS0001
35964|FRA14120 CEDEO |109597|DSW0001
78403|FRA69800|114177|DMS0441
16687|FRA51430|17816|DNA0001
29210|FRA69800|20859|DMS0001
82329|FRA78540|22539|DRW0001
27473|FRA59273|18717|DSW0001
S00064602|FRA84000|79490|DEW0001
76904|FRA57280|18295|DCW0630
S00096790|FRA73370|96778|DMS0001
7062|FRA54340|64668|DCW0001
23740|FRA67450|20214|DCW0348
13093|FRA92700|23634|DRW0001
51192|FRA61250|31829|DSW0373
S00057940|FRA92110|33455|DSW0001
32375|FRA51420|17708|DSW0373
25739|FRA59770|31602|DMS0001
3907|FRA92230|23716|DRW0001
68140|FRA57600|31319|DOS0119
S00081055|FRA60250|96181|DSW0001
76913|FRA62590|19752|DSW0001
S00048581|FRA62400ESSARS|96747|DCW0079
73304|FRA72700|91237|DLS0001
19985|FRA59180|18587|DEW0001
49394|FRA71850|21026|DEW0158
24544|FRA01150|29986|DOS0119
S00066147|FRA91300|82264|DCW0001
48551|FRA59810|18792|DLS0444
S00076494|FRA77140|76496|DRW0001
62750|FRA94410|24315|DRW0576
20377|FRA57280|18296|DOS0119
78403|FRA69800|114177|DMS0001
76947|FRA80210|22663|DSW0001
27055|FRA75015PAR|99753|DRW0001
35631|FRA05001|17666|DEW0800
17519|FRA07300|21196|DLS0512
24953|FRA35740|128461|DLS0001
27473|FRA94200|24604|DRW0551
56514|FRA51100A|128435|DCW0148
90973|FRA41700|27550|DLS0001
14895|FRA60031|19209|DRW0001
109985|FRA13131|29635|DEW0476
102981|FRA75017|12074|DMS0001
73976|FRA59210|18603|DRW0531
4515|FRA69200|32219|DMS0001
67473|FRA75014|44030|DRW0001
18165|FRA35230|16321|DLS0001
7062|FRA38100|64726|DMS0441
32375|FRA51420|17708|DNA0001
35631|FRA34070|16115|DEW0001
106910|FRA02540|14837|DRW0001
20798|FRA35135|16231|DLS0306
S00084908|FRA69570SG|120446|DMS0001
60353|FRA76650|99698|DSW0001
56514|FRA54180COAXEL|17928|DCW0001
19911|FRA95100|24374|DRW0001
25171|FRA14200|12337|DOS0119
77056|FRA54200|18101|DCW0001
28899|FRA62110|19690|DSW0001
35964|FRA54000 CEDEO |18019|DCW0001
24468|FRA26320|112888|DMS0001
56514|FRA69200|20661|DMS0441
14052|FRA95740|90361|DSW0373
56514|FRA27000COAXEL|15041|DSW0001
20798|FRA76350|88996|DSW0001
3907|FRA92230|23716|DSW0001
26929|FRA54760|17918|DCW0693
35631|FRA74700|21270|DMS0001
72612|FRA91940ULI|98797|DRW0069
3907|FRA92230|23716|DMS0441
S00084572|FRA94400|83445|DRW0001
4289|FRA76120|95755|DSW0001
S00057940|FRA92110|33455|DCW0001
20798|FRA33600|79802|DNA0001
35631|FRA93300|23970|DRW0001
35631|FRA13852|45102|DEW0001
36024|FRA57780|77852|DCW0693
17102|FRA50440|17566|DSW0373
100344|FRA69490|29442|DRW0001
72612|FRA91940ULI|98797|DRW0001
100147|FRA79260|22557|DNA0001
85084|FRA44700|17132|DRW0551
24953|FRA87280-A|23166|DNA0001
27305|FRA54320|47084|DCW0001
52146|FRA01600|30025|DRW0001
18186|FRA91940|23532|DRW0001
13093|FRA62280|12347|DSW0001
S00129855|FRA69005|127106|DMS0441
32375|FRA51420|17708|DCW0348
20798|FRA34070|16126|DEW0001
29635|FRA54610|17889|DCW0001
7611|FRA01700|13859|DMS0001
S00048810|FRA86580|48811|DNA0514
S00071004|FRA78280|73640|DRW0001
20798|FRA95100|24365|DRW0001
20798|FRA49124|17503|DLS0001
25171|FRA14320|14439|DOS0119
S00110114|FRA01190|110272|DRW0001
76904|FRA93150|23988|DLS0034
22232|FRA77181|22206|DLS0245
35806|FRA59700|18903|DSW0001
60353|FRA76650|99698|DSW0656
32656|FRA57600|31320|DMS0001
20798|FRA21600|14702|DCW0001
4691|FRA62360|55451|DOS0119
44198|FRA57070HTA|91583|DCW0001
20798|FRA77500|22193|DRW0001
S00128747|MCO98000|128371|DEW0001
52146|FRA01600|30025|DEW0001
56514|FRA51100FACEN|17762|DCW0001
35631|FRA66000|20062|DEW0001
16687|FRA51430|17816|DNA0399
56792|FRA02100|30250|DSW0001
7135|FRA94807|24329|DRW0001
42635|FRA92300LEV|101404|DLS0460
15007|FRA59760|13169|DSW0683
S00056948|FRA80080DUC|120585|DSW0001
44198|FRA69800|20818|DMS0001
14856|FRA95500|24446|DLS0452
S00110114|FRA01190|110272|DMS0001
S00103434|FRA16430|102389|DNA0001
34448|FRA75008|21382|DRW0001
16687|FRA51430|17816|DRW0608
56067|FRA62110|120378|DSW0001
S00116507|FRA31330|115509|DNA0001
22954|FRA21800|14721|DMS0001
705|FRA83079|35812|DEW0001
100344|FRA69490|29442|DSW0001
16687|FRA51430|17816|DSW0001
35631|FRA63170|19828|DMS0001
100836|FRA91080|23394|DRW0001
16687|FRA51430|17816|DLS0245
1207|FRA44700|122984|DOS0119
87159|FRA83600|103048|DEW0001
S00064602|FRA76800|65003|DSW0001
S00123580|FRA64230|122696|DNA0001
47294|FRA93200|33716|DRW0001
S00071004|FRA92400|73636|DCW0001
S00064602|FRA34070B|65045|DEW0001
738|FRA42000|44255|DMS0441
25171|FRA14320|14439|DRW0001
8308|FRA92737|23819|DEW0001
16687|FRA51430|17816|DEW0800
S00067337|FRA75008|67357|DOS0001
78356|FRA90800|23323|DCW0630
29249|FRA59350|19018|DSW0523
25171|FRA14320|14439|DSW0001
6445|FRA38432|16614|DMS0441
56514|FRA54180COAXEL|17928|DCW0630
24749|FRA92000|127093|DRW0001
56514|FRA93300|23968|DRW0001
S00066147|FRA91300|82264|DMS0001
S00110114|FRA01190|110272|DSW0001
5462|FRA69680|20734|DEW0001
S00067215|FRA45380|87098|DOS0119
S00077540|FRA72100|77538|DLS0001
3979|FRA95380|24472|DRW0001
17519|FRA07300|21196|DLS0001
39293|FRA60400|31780|DSW0661
24260|FRA69500|32170|DMS0001
35964|FRA78000 CEDEO |51402|DRW0001
46140|FRA13320|29770|DNA0001
S00129854|FRA66000|127650|DEW0001
3907|FRA92230|23716|DOS0119
50629|FRA88200|23274|DCW0001
20798|FRA59121|18969|DSW0001
50694|FRA66350|20093|DMS0001
S00102927|FRA84320|102822|DOS0119
63073|FRA69390|29549|DEW0001
24953|FRA62280|12346|DSW0001
24953|FRA62280|12346|DOS0119
4504|FRA92700COL|91075|DRW0001
56514|FRA86000-A|23089|DNA0514
2497|FRA59273|118042|DSW0001
S00119365|FRA62980|119255|DSW0683
56514|FRA73490|21188|DMS0001
27473|FRA54710|17919|DCW0001
S00072302|FRA69680|72303|DMS0001
34514|FRA01700|13867|DMS0001
4515|FRA44400|96273|DNA0001
49795|FRA95310|13307|DRW0001
24468|FRA42000|112892|DMS0441
106225|FRA13500|29039|DEW0476
5381|FRA54210|18089|DCW0001
S00119000|FRA88600|118993|DCW0001
24468|FRA94000|112893|DRW0001
46645|FRA92000|23811|DOS0119
49773|FRA42000|64301|DMS0441
S00047713|FRA40120|47718|DNA0380
4350|FRA67158|20136|DCW0630
75906|FRA26600|52200|DMS0441
49394|FRA71850|21026|DRW0001
83165|FRA69100|20712|DMS0441
56514|FRA69400|20559|DMS0001
S00047637|FRA02210|47638|DSW0001
S00079158|FRA75018|79156|DMS0361
35806|FRA76650|21980|DSW0001
90259|FRA92000|23802|DNA0001
1411|FRA92356|28442|DMS0001
21718|FRA06205|31807|DLS0306
24953|FRA59273|18714|DSW0001
32995|FRA67300-A|20266|DLS0001
S00119414|FRA75013|119408|DCW0348
25739|FRA59770|31602|DRW0001
90403|FRA59721|18615|DSW0001
20798|FRA69200|12315|DMS0001
27473|FRA44300|17093|DLS0001
87972|FRA57155|90408|DOS0119
S00094092|FRA22000|126799|DLS0001
25739|FRA59770|31602|DSW0001
56514|FRA75017D|128458|DCW0001
S00129854|FRA59650|127647|DSW0001
76904|FRA13127|14141|DEW0930
104170|FRA94420|24294|DRW0001
24468|FRA69007|112883|DCW0001
24953|FRA33610|15805|DNA0001
35806|FRA51420|70572|DCW0001
S00125565|FRA73410|122178|DMS0001
20798|FRA63100VER|97036|DMS0001
23291|FRA07500|21011|DEW0001
56514|FRA61100|19481|DSW0001
86891|FRA34430|48166|DEW0001
76673|FRA69520|124145|DLS0001
51558|FRA91230|23442|DRW0001
24468|FRA34070A|123128|DEW0001
S00062488|FRA44360|62499|DLS0001
S00059774|FRA13500|59785|DEW0476
74331|FRA76290|12568|DSW0600
S00096077|FRA86190|96074|DNA0470
S00064602|FRA13127|79368|DEW0001
56514|FRA69800|20834|DMS0001
31098|FRA68200|20431|DMS0001
52418|FRA92500|33635|DMS0001
24953|FRA63360|19880|DMS0001
109676|FRA54425|13212|DCW0630
14895|FRA60031|19209|DEW0001
25906|FRA06225|19543|DCW0001
3979|FRA95380|24472|DCW0001
86891|FRA44470|17038|DOS0119
85284|FRA13220-A|13990|DEW0476
35631|FRA30900|15361|DEW0001
14506|FRA13592|13909|DNA0001
25171|FRA14320|14439|DMS0441
25739|FRA59770|31602|DOS0001
14604|FRA25460|112944|DOS0119
81574|FRA01230|14317|DMS0001
101271|FRA08400|22879|DSW0001
29978|FRA91240|23484|DSW0001
27473|FRA54710|17919|DCW0630
12900|FRA13115|12381|DEW0001
1776|FRA69800|20826|DLS0001
3907|FRA92230|23716|DLS0001
S00075274|FRA95370|75246|DRW0001
7593|FRA92100|29632|DLS0001
20798|FRA42000|28525|DMS0001
4350|FRA67158|20136|DCW0348
6703|FRA69800SAI|98887|DSW0001
S00104173|FRA95300|104129|DRW0001
48006|FRA27930|57190|DSW0001
16556|FRA69800|20825|DMS0001
S00115551|FRA88600|115442|DCW0540
37494|FRA38780|120251|DMS0441
S00091696|FRA34500|91698|DNA0001
78356|FRA28100|15165|DLS0001
22418|FRA69290|32180|DCW0001
S00057940|FRA92110|33455|DNA0514
29751|FRA31670|15471|DOS0119
56514|FRA79000|45316|DNA0001
56514|FRA31094|28480|DNA0001
34860|FRA54180|94503|DCW0630
S00129855|FRA35310|127611|DLS0001
8308|FRA34470|16154|DEW0001
111073|FRA38950|29033|DMS0001
108819|BEL2200|46937|DSW0001
32554|FRA92400|120669|DRW0001
16920|FRA44800|17166|DLS0001
25758|FRA69740|53244|DMS0502
S00060416|FRA66240|60413|DEW0001
16687|FRA69120|53690|DMS0001
35631|FRA05100|17629|DEW0800
15826|FRA14650|30011|DSW0001
24468|FRA13010|112886|DEW0800
22232|FRA77181|22206|DSW0001
8308|FRA33140|16037|DNA0001
320|FRA63530|19909|DLS0245
101915|FRA67580PDR|32081|DSW0001
31756|FRA33320|15852|DNA0001
84129|FRA27100|15126|DSW0001
56514|FRA54180A|128436|DCW0001
3907|FRA92230|23716|DCW0001
27473|FRA34130|12053|DEW0001
89893|FRA60000|117675|DRW0001
27473|FRA44300|17093|DOS0119
101761|FRA95150|24565|DRW0001
27473|FRA33610|15806|DNA0001
25171|FRA14320|14439|DEW0001
S00048168|FRA33530|48169|DNA0001
56514|FRA25300|14888|DCW0001
20798|FRA54710|88934|DCW0630
S00048545|FRA67150|49046|DCW0348
7552|FRA67201|20121|DEW0001
16687|FRA51430|17816|DMS0001
88674|FRA77000|47347|DRW0531
86599|FRA33310|113141|DNA0001
105004|FRA59650|18511|DMS0001
25685|FRA72100|21122|DLS0001
56514|FRA45500|116220|DOS0119
51647|FRA59310|47531|DSW0001
56514|FRA26200|14922|DOS0119
4515|FRA93200|24118|DNA0001
31440|FRA57153|31351|DCW0001
7135|FRA69740|124325|DMS0441
16556|FRA13127|12022|DEW0001
72612|FRA91940ULI|98797|DOS0119
6454|FRA54280|17949|DCW0001
49394|FRA71850|21026|DRW0362
78356|FRA54000|18025|DCW0630
S00064602|FRA59175A|105873|DSW0001
738|FRA63017|31976|DMS0001
S00066147|FRA91300|82264|DOS0119
16556|FRA59000|18816|DSW0001
S00064602|FRA54180CGED|65101|DCW0001
56514|FRA86000|23096|DNA0514
8308|FRA92737|23819|DCW0001
20798|FRA28300|113139|DRW0001
76264|FRA62160|83502|DSW0001
110270|FRA92400|46477|DSW0001
S00103312|FRA38790|102986|DMS0001
S00064602|FRA69800|79462|DMS0001
24953|FRA06700|48499|DEW0930
27473|FRA14123|102735|DSW0373
90224|FRA77184|22225|DRW0001
36005|FRA34500|79052|DSW0001
76673|FRA69520|124145|DSW0523
102488|FRA95220|24463|DRW0001
39415|FRA86130|23061|DNA0514
S00049173|FRA69290|99474|DMS0001
56514|FRA21300|14644|DMS0001
91146|FRA51500|89212|DCW0001
73463|FRA91540|23440|DRW0001
28787|FRA93300|23976|DMS0001
52334|AUT2352-A|46907|DMS0502
56514|FRA22000|28518|DLS0001
25453|FRA34200|16175|DEW0001
20798|FRA54710|88934|DCW0001
14930|FRA86000|23115|DNA0001
