"REQ_ID","PROGRAMME","CONCURRENT_PROGRAM_NAME","DEBUT","DUREE_MIN","PARAMETRES"
48019195,"EasyLink","GLLEZL","26/05 19:01:45",769,2,"1159665, -602, N, , , N, N, Y"
48019202,"Programme de comptabilisation","XLAACCUP","26/05 19:01:47",769,2,"222, 2160, 2026/05/31, F, N, 2113066, 48018728, 48"
48019200,"Programme de comptabilisation","XLAACCUP","26/05 19:01:47",769,2,"222, 2156, 2026/05/31, F, N, 2113064, 48018727, 48"
48019203,"Programme de comptabilisation","XLAACCUP","26/05 19:01:47",769,2,"222, 2162, 2026/05/31, F, N, 2113067, 48018729, 48"
48018853,"Calculer les plus- et moins-values","FARET","26/05 19:01:47",769,2,"0001 IFRS"
48019201,"Programme de comptabilisation","XLAACCUP","26/05 19:01:47",769,2,"222, 2166, 2026/05/31, F, N, 2113065, 48018731, 48"
48019205,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:01:48",769,1,", 2025, 4618792, , , Receivables, "
48019197,"EasyLink","GLLEZL","26/05 19:01:48",769,1,"1159666, -602, N, , , N, N, Y"
48019208,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:01:48",769,1,"2025, 4618792, , 48019205, Receivables"
48019204,"Programme de comptabilisation","XLAACCUP","26/05 19:01:48",769,1,"222, 2180, 2026/05/31, F, N, 2113053, 48018735, 48"
48019206,"Programme de comptabilisation","XLAACCUP","26/05 19:01:48",769,1,"222, 2240, 2026/05/31, F, N, 2113075, 48018749, 48"
48019211,"Programme de comptabilisation","XLAACCUP","26/05 19:01:49",769,1,"222, 2198, 2026/05/31, F, N, 2113078, 48018740, 48"
48019210,"Programme de comptabilisation","XLAACCUP","26/05 19:01:49",769,1,"222, 2112, 2026/05/31, F, N, 2113077, 48018677, 48"
48019216,"Programme de comptabilisation","XLAACCUP","26/05 19:01:50",769,1,"222, 2170, 2026/05/31, F, N, 2113080, 48018732, 48"
48019222,"Programme de comptabilisation","XLAACCUP","26/05 19:01:50",769,1,"222, 2208, 2026/05/31, F, N, 2113096, 48018743, 48"
48019214,"Programme de comptabilisation","XLAACCUP","26/05 19:01:50",769,1,"222, 2182, 2026/05/31, F, N, 2113079, 48018736, 48"
48019220,"Programme de comptabilisation","XLAACCUP","26/05 19:01:50",769,1,"222, 2220, 2026/05/31, F, N, 2113073, 48018746, 48"
48019219,"Programme de comptabilisation","XLAACCUP","26/05 19:01:50",769,1,"222, 2210, 2026/05/31, F, N, 2113081, 48018744, 48"
48019223,"Programme de comptabilisation","XLAACCUP","26/05 19:01:50",769,1,"222, 2204, 2026/05/31, F, N, 2113082, 48018741, 48"
48019221,"Programme de comptabilisation","XLAACCUP","26/05 19:01:50",769,1,"222, 2296, 2026/05/31, F, N, 2113095, 48018757, 48"
48019215,"Programme de comptabilisation","XLAACCUP","26/05 19:01:50",769,1,"222, 2228, 2026/05/31, F, N, 2113070, 48018747, 48"
48019227,"Programme de comptabilisation","XLAACCUP","26/05 19:01:51",769,1,"222, 2274, 2026/05/31, F, N, 2113083, 48018753, 48"
48019226,"Programme de comptabilisation","XLAACCUP","26/05 19:01:51",769,1,"222, 2306, 2026/05/31, F, N, 2113099, 48018760, 48"
48019198,"EasyLink","GLLEZL","26/05 19:01:51",769,1,"1159667, -602, N, , , N, N, Y"
48019225,"Programme de comptabilisation","XLAACCUP","26/05 19:01:51",769,1,"222, 2300, 2026/05/31, F, N, 2113097, 48018758, 48"
48019224,"Programme de comptabilisation","XLAACCUP","26/05 19:01:51",769,1,"222, 2250, 2026/05/31, F, N, 2113098, 48018751, 48"
48019228,"Programme de comptabilisation","XLAACCUP","26/05 19:01:51",769,1,"222, 2206, 2026/05/31, F, N, 2113084, 48018742, 48"
48019233,"Programme de comptabilisation","XLAACCUP","26/05 19:01:52",769,1,"222, 2312, 2026/05/31, F, N, 2113087, 48018761, 48"
48019234,"Programme de comptabilisation","XLAACCUP","26/05 19:01:52",769,1,"222, 2218, 2026/05/31, F, N, 2113088, 48018745, 48"
48019235,"Programme de comptabilisation","XLAACCUP","26/05 19:01:52",769,1,"222, 2176, 2026/05/31, F, N, 2113089, 48018734, 48"
48019232,"Programme de comptabilisation","XLAACCUP","26/05 19:01:52",769,1,"222, 2304, 2026/05/31, F, N, 2113086, 48018759, 48"
48019199,"EasyLink","GLLEZL","26/05 19:01:52",769,1,"1159668, -602, N, , , N, N, Y"
48019242,"Programme de comptabilisation","XLAACCUP","26/05 19:01:53",769,1,"222, 2316, 2026/05/31, F, N, 2113092, 48018763, 48"
48019243,"Programme de comptabilisation","XLAACCUP","26/05 19:01:53",769,1,"222, 2336, 2026/05/31, F, N, 2113091, 48018769, 48"
48019240,"Programme de comptabilisation","XLAACCUP","26/05 19:01:53",769,1,"222, 2314, 2026/05/31, F, N, 2113102, 48018762, 48"
48019241,"Programme de comptabilisation","XLAACCUP","26/05 19:01:53",769,1,"222, 2318, 2026/05/31, F, N, 2113090, 48018764, 48"
48019246,"Programme de comptabilisation","XLAACCUP","26/05 19:01:54",769,"222, 2322, 2026/05/31, F, N, 2113093, 48018766, 48"
48019207,"EasyLink","GLLEZL","26/05 19:01:54",769,"1159669, -602, N, , , N, N, Y"
48019249,"Programme de comptabilisation","XLAACCUP","26/05 19:01:55",769,"222, 2338, 2026/05/31, F, N, 2113116, 48018770, 48"
48019209,"EasyLink","GLLEZL","26/05 19:01:55",769,"1159670, -602, N, , , N, N, Y"
48019247,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:01:55",769,", 2126, 4618794, , , Receivables, "
48019253,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:01:55",769,", 2061, 4618793, , , Receivables, "
48019258,"Programme de comptabilisation","XLAACCUP","26/05 19:01:55",769,"222, 2356, 2026/05/31, F, N, 2113105, 48018776, 48"
48019252,"Programme de comptabilisation","XLAACCUP","26/05 19:01:55",769,"222, 2354, 2026/05/31, F, N, 2113118, 48018775, 48"
48019257,"Programme de comptabilisation","XLAACCUP","26/05 19:01:55",769,"222, 2374, 2026/05/31, F, N, 2113104, 48018779, 48"
48019256,"Programme de comptabilisation","XLAACCUP","26/05 19:01:55",769,"222, 2352, 2026/05/31, F, N, 2113103, 48018774, 48"
48019251,"Programme de comptabilisation","XLAACCUP","26/05 19:01:55",769,"222, 2342, 2026/05/31, F, N, 2113119, 48018771, 48"
48019254,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:01:55",769,"2126, 4618794, , 48019247, Receivables"
48019259,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:01:56",769,"2061, 4618793, , 48019253, Receivables"
48019263,"Programme de comptabilisation","XLAACCUP","26/05 19:01:56",769,"222, 2372, 2026/05/31, F, N, 2113108, 48018778, 48"
48019264,"Programme de comptabilisation","XLAACCUP","26/05 19:01:56",769,"222, 2377, 2026/05/31, F, N, 2113107, 48018780, 48"
48019261,"Programme de comptabilisation","XLAACCUP","26/05 19:01:56",769,"222, 2350, 2026/05/31, F, N, 2113106, 48018773, 48"
48019266,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:01:57",769,"2148, 4618797, , 48019265, Receivables"
48019270,"Programme de comptabilisation","XLAACCUP","26/05 19:01:57",769,"222, 2393, 2026/05/31, F, N, 2113121, 48018782, 48"
48019265,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:01:57",769,", 2148, 4618797, , , Receivables, "
48019213,"EasyLink","GLLEZL","26/05 19:01:57",769,"1159672, -602, N, , , N, N, Y"
48019212,"EasyLink","GLLEZL","26/05 19:01:57",769,"1159671, -602, N, , , N, N, Y"
48019217,"EasyLink","GLLEZL","26/05 19:01:57",769,"1159673, -602, N, , , N, N, Y"
48018854,"Calculer les plus- et moins-values","FARET","26/05 19:01:57",769,"0001 SOCIAL"
48019267,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:01:58",769,", 2144, 4618796, , , Receivables, "
48019271,"Programme de comptabilisation","XLAACCUP","26/05 19:01:58",769,"222, 2397, 2026/05/31, F, N, 2113122, 48018783, 48"
48019275,"Programme de comptabilisation","XLAACCUP","26/05 19:01:59",769,"222, 2411, 2026/05/31, F, N, 2113110, 48018786, 48"
48019279,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:01:59",769,"2156, 4618798, , 48019273, Receivables"
48019218,"EasyLink","GLLEZL","26/05 19:01:59",769,"1159674, -602, N, , , N, N, Y"
48019274,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:01:59",769,"2144, 4618796, , 48019267, Receivables"
48019278,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:01:59",769,"2166, 4618799, , 48019272, Receivables"
48019277,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:01:59",769,", 2240, 4618801, , , Receivables, "
48019273,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:01:59",769,", 2156, 4618798, , , Receivables, "
48019272,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:01:59",769,", 2166, 4618799, , , Receivables, "
48019229,"EasyLink","GLLEZL","26/05 19:01:59",769,"1159676, -602, N, , , N, N, Y"
48019230,"EasyLink","GLLEZL","26/05 19:02:00",768,9,"1159675, -602, N, , , N, N, Y"
48019280,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:00",768,9,"2240, 4618801, , 48019277, Receivables"
48019284,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:01",768,9,"2160, 4618800, , 48019281, Receivables"
48019236,"EasyLink","GLLEZL","26/05 19:02:01",768,9,"1159678, -602, N, , , N, N, Y"
48019231,"EasyLink","GLLEZL","26/05 19:02:01",768,9,"1159677, -602, N, , , N, N, Y"
48019281,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:01",768,9,", 2160, 4618800, , , Receivables, "
48019286,"Programme de comptabilisation","XLAACCUP","26/05 19:02:01",768,9,"222, 2443, 2026/05/31, F, N, 2113112, 48018794, 48"
48019285,"Programme de comptabilisation","XLAACCUP","26/05 19:02:01",768,9,"222, 2425, 2026/05/31, F, N, 2113111, 48018789, 48"
48019282,"Programme de comptabilisation","XLAACCUP","26/05 19:02:01",768,9,"222, 2415, 2026/05/31, F, N, 2113125, 48018787, 48"
48019283,"Programme de comptabilisation","XLAACCUP","26/05 19:02:01",768,9,"222, 2417, 2026/05/31, F, N, 2113126, 48018788, 48"
48019237,"EasyLink","GLLEZL","26/05 19:02:02",768,9,"1159679, -602, N, , , N, N, Y"
48019287,"Programme de comptabilisation","XLAACCUP","26/05 19:02:02",768,9,"222, 2429, 2026/05/31, F, N, 2113114, 48018790, 48"
48019289,"Programme de comptabilisation","XLAACCUP","26/05 19:02:02",768,9,"222, 2437, 2026/05/31, F, N, 2113151, 48018793, 48"
48019244,"EasyLink","GLLEZL","26/05 19:02:03",768,9,"1159682, -602, N, , , N, N, Y"
48019255,"EasyLink","GLLEZL","26/05 19:02:03",768,9,"1159686, -602, N, , , N, N, Y"
48019262,"EasyLink","GLLEZL","26/05 19:02:03",768,9,"1159688, -602, N, , , N, N, Y"
48019239,"EasyLink","GLLEZL","26/05 19:02:03",768,9,"1159681, -602, N, , , N, N, Y"
48019245,"EasyLink","GLLEZL","26/05 19:02:03",768,9,"1159683, -602, N, , , N, N, Y"
48019290,"Programme de comptabilisation","XLAACCUP","26/05 19:02:03",768,9,"222, 2451, 2026/05/31, F, N, 2113128, 48018796, 48"
48019238,"EasyLink","GLLEZL","26/05 19:02:03",768,9,"1159680, -602, N, , , N, N, Y"
48019248,"EasyLink","GLLEZL","26/05 19:02:03",768,9,"1159684, -602, N, , , N, N, Y"
48019260,"EasyLink","GLLEZL","26/05 19:02:03",768,9,"1159687, -602, N, , , N, N, Y"
48019291,"Programme de comptabilisation","XLAACCUP","26/05 19:02:03",768,9,"222, 2447, 2026/05/31, F, N, 2113130, 48018795, 48"
48019250,"EasyLink","GLLEZL","26/05 19:02:03",768,9,"1159685, -602, N, , , N, N, Y"
48019269,"EasyLink","GLLEZL","26/05 19:02:04",768,9,"1159690, -602, N, , , N, N, Y"
48019276,"EasyLink","GLLEZL","26/05 19:02:04",768,9,"1159691, -602, N, , , N, N, Y"
48019288,"EasyLink","GLLEZL","26/05 19:02:04",768,9,"1159692, -602, N, , , N, N, Y"
48019295,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:04",768,9,", 2140, 4618795, , , Receivables, "
48019292,"Programme de comptabilisation","XLAACCUP","26/05 19:02:04",768,9,"222, 2485, 2026/05/31, F, N, 2113153, 48018801, 48"
48019293,"Programme de comptabilisation","XLAACCUP","26/05 19:02:04",768,9,"222, 2493, 2026/05/31, F, N, 2113131, 48018803, 48"
48019268,"EasyLink","GLLEZL","26/05 19:02:04",768,9,"1159689, -602, N, , , N, N, Y"
48019301,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:05",768,9,"2198, 4618802, , 48019298, Receivables"
48019296,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:05",768,9,"2140, 4618795, , 48019295, Receivables"
48019300,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:05",768,9,", 2322, 4618814, , , Receivables, "
48019297,"Programme de comptabilisation","XLAACCUP","26/05 19:02:05",768,9,"222, 2491, 2026/05/31, F, N, 2113133, 48018802, 48"
48019298,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:05",768,9,", 2198, 4618802, , , Receivables, "
48019299,"Programme de comptabilisation","XLAACCUP","26/05 19:02:05",768,9,"222, 2453, 2026/05/31, F, N, 2113132, 48018797, 48"
48019305,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:06",768,8,"2322, 4618814, , 48019300, Receivables"
48019302,"Programme de comptabilisation","XLAACCUP","26/05 19:02:06",768,8,"222, 2528, 2026/05/31, F, N, 2113135, 48018804, 48"
48019304,"Programme de comptabilisation","XLAACCUP","26/05 19:02:06",768,8,"222, 2544, 2026/05/31, F, N, 2113155, 48018808, 48"
48019309,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:06",768,8,", 2296, 4618805, , , Receivables, "
48019307,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:06",768,8,", 2228, 4618803, , , Receivables, "
48019308,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:06",768,8,", 2356, 4618817, , , Receivables, "
48019306,"Programme de comptabilisation","XLAACCUP","26/05 19:02:06",768,8,"222, 2540, 2026/05/31, F, N, 2113136, 48018807, 48"
48019311,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:07",768,8,"2356, 4618817, , 48019308, Receivables"
48019312,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:07",768,8,"2296, 4618805, , 48019309, Receivables"
48019314,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:07",768,8,"2204, 4618806, , 48019310, Receivables"
48019310,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:07",768,8,", 2204, 4618806, , , Receivables, "
48018855,"Calculer les plus- et moins-values","FARET","26/05 19:02:07",768,8,"0013 SOCIAL"
48019303,"EasyLink","GLLEZL","26/05 19:02:07",768,8,"1159694, -602, N, , , N, N, Y"
48019294,"EasyLink","GLLEZL","26/05 19:02:07",768,8,"1159693, -602, N, , , N, N, Y"
48019316,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:07",768,8,"2228, 4618803, , 48019307, Receivables"
48019322,"Programme de comptabilisation","XLAACCUP","26/05 19:02:08",768,8,"222, 2742, 2026/05/31, F, N, 2113140, 48018812, 48"
48019324,"Programme de comptabilisation","XLAACCUP","26/05 19:02:08",768,8,"222, 2548, 2026/05/31, F, N, 2113138, 48018809, 48"
48019330,"Programme de comptabilisation","XLAACCUP","26/05 19:02:09",768,8,"222, 2804, 2026/05/31, F, N, 2113142, 48018814, 48"
48019319,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:09",768,8,", 2210, 4618804, , , Receivables, "
48019317,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:09",768,8,", 2274, 4618808, , , Receivables, "
48019318,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:09",768,8,", 2354, 4618815, , , Receivables, "
48019315,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:09",768,8,", 2306, 4618807, , , Receivables, "
48019336,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:10",768,8,"2354, 4618815, , 48019318, Receivables"
48019334,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:10",768,8,"2306, 4618807, , 48019315, Receivables"
48019335,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:10",768,8,"2274, 4618808, , 48019317, Receivables"
48019321,"Mettre à jour les soldes de comptabilité auxiliaire","XLABAPUB","26/05 19:02:10",768,8,"222, 2025, 2113041, A"
48019338,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:10",768,8,"2210, 4618804, , 48019319, Receivables"
48019331,"Programme de comptabilisation","XLAACCUP","26/05 19:02:10",768,8,"222, 2882, 2026/05/31, F, N, 2113157, 48018815, 48"
48019320,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:10",768,8,", 2350, 4618818, , , Receivables, "
48019339,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:10",768,8,"2350, 4618818, , 48019320, Receivables"
48019344,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:11",768,8,"2176, 4618810, , 48019325, Receivables"
48019347,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:11",768,8,"2377, 4618819, , 48019328, Receivables"
48019348,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:11",768,8,"2314, 4618811, , 48019326, Receivables"
48019345,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:11",768,8,"2312, 4618809, , 48019323, Receivables"
48019342,"Programme de comptabilisation","XLAACCUP","26/05 19:02:11",768,8,"222, 2982, 2026/05/31, F, N, 2113144, 48018817, 48"
48019326,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:11",768,8,", 2314, 4618811, , , Receivables, "
48019325,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:11",768,8,", 2176, 4618810, , , Receivables, "
48019328,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:11",768,8,", 2377, 4618819, , , Receivables, "
48019323,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:11",768,8,", 2312, 4618809, , , Receivables, "
48019329,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:11",768,8,", 2447, 4618821, , , Receivables, "
48019341,"Programme de comptabilisation","XLAACCUP","26/05 19:02:11",768,8,"222, 2964, 2026/05/31, F, N, 2113143, 48018816, 48"
48019355,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:12",768,7,"2417, 4618820, , 48019349, Receivables"
48019353,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:12",768,7,"2453, 4618822, , 48019343, Receivables"
48019352,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:12",768,7,"2316, 4618812, , 48019337, Receivables"
48019351,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:12",768,7,"2447, 4618821, , 48019329, Receivables"
48019357,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:12",768,7,"2318, 4618813, , 48019333, Receivables"
48019354,"Traitement de processeur du gestionnaire de données des soldes de comptes non soldés","XLATBDMW","26/05 19:02:12",768,7,"2374, 4618816, , 48019346, Receivables"
48019350,"Programme de comptabilisation","XLAACCUP","26/05 19:02:12",768,7,"222, 3065, 2026/05/31, F, N, 2113158, 48018818, 48"
48019346,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:12",768,7,", 2374, 4618816, , , Receivables, "
48019337,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:12",768,7,", 2316, 4618812, , , Receivables, "
48019343,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:12",768,7,", 2453, 4618822, , , Receivables, "
48019333,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:12",768,7,", 2318, 4618813, , , Receivables, "
48019349,"Gestionnaire de données des soldes de comptes non soldés","XLATBDMG","26/05 19:02:12",768,7,", 2417, 4618820, , , Receivables, "
48019359,"Programme de comptabilisation","XLAACCUP","26/05 19:02:13",768,7,"222, 3330, 2026/05/31, F, N, 2113162, 48018821, 48"
48019358,"Programme de comptabilisation","XLAACCUP","26/05 19:02:13",768,7,"222, 3362, 2026/05/31, F, N, 2113161, 48018822, 48"
48019361,"Mettre à jour les soldes de comptabilité auxiliaire","XLABAPUB","26/05 19:02:16",768,7,"222, 2126, 2113057, A"
48019364,"Mettre à jour les soldes de comptabilité auxiliaire","XLABAPUB","26/05 19:02:16",768,7,"222, 2061, 2113042, A"
48018856,"Calculer les plus- et moins-values","FARET","26/05 19:02:17",768,7,"0028 IFRS"
48019367,"Programme de comptabilisation","XLAACCUP","26/05 19:02:18",768,6,"222, 3426, 2026/05/31, F, N, 2113146, 48018825, 48"
48019375,"Programme de comptabilisation","XLAACCUP","26/05 19:02:21",768,6,"222, 3462, 2026/05/31, F, N, 2113147, 48018826, 48"
48019374,"Programme de comptabilisation","XLAACCUP","26/05 19:02:21",768,6,"222, 3482, 2026/05/31, F, N, 2113148, 48018827, 48"
48019376,"Programme de comptabilisation","XLAACCUP","26/05 19:02:22",768,6,"222, 3486, 2026/05/31, F, N, 2113149, 48018828, 48"
48019380,"Programme de comptabilisation","XLAACCUP","26/05 19:02:22",768,6,"222, 3502, 2026/05/31, F, N, 2113164, 48018829, 48"
48019370,"Mettre à jour les soldes de comptabilité auxiliaire","XLABAPUB","26/05 19:02:22",768,6,"222, 2240, 2113075, A"
48019365,"Mettre à jour les soldes de comptabilité auxiliaire","XLABAPUB","26/05 19:02:22",768,6,"222, 2148, 2113050, A"
48019368,"Mettre à jour les soldes de comptabilité auxiliaire","XLABAPUB","26/05 19:02:22",768,6,"222, 2166, 2113065, A"
48019369,"Mettre à jour les soldes de comptabilité auxiliaire","XLABAPUB","26/05 19:02:22",768,6,"222, 2156, 2113064, A"
48019371,"Mettre à jour les soldes de comptabilité auxiliaire","XLABAPUB","26/05 19:02:22",768,6,"222, 2140, 2113062, A"
48019377,"Mettre à jour les soldes de comptabilité auxiliaire","XLABAPUB","26/05 19:02:22",768,6,"222, 2296, 2113095, A"
48019379,"Mettre à jour les soldes de comptabilité auxiliaire","XLABAPUB","26/05 19:02:22",768,6,"222, 2204, 2113082, A"
48019366,"Mettre à jour les soldes de comptabilité auxiliaire","XLABAPUB","26/05 19:02:22",768,6,"222, 2144, 2113048, A"
48019378,"Mettre à jour les soldes de comptabilité auxiliaire","XLABAPUB","26/05 19:02:22",768,6,"222, 2228, 2113070, A"
48019372,"Mettre à jour les soldes de comptabilité auxiliaire","XLABAPUB","26/05 19:02:22",768,6,"222, 2160, 2113066, A"
48019373,"Mettre à jour les soldes de comptabilité auxiliaire","XLABAPUB","26/05 19:02:22",768,6,"222, 2198, 2113078, A"
48019381,"Mettre à jour les soldes de comptabilité auxiliaire","XLABAPUB","26/05 19:02:23",768,6,"222, 2306, 2113099, A"
