Date Comptable;Code Societe Achat;Compte Comptable Achat;ID founisseur externe;Code tâche;Code folio;Libellé;Quantité;Type;Montant;Devise;Date de la pièce;Numéro de pièce;Taux de Tva;TypeEvenementAchat;Numero2;Type de Tva;Date d'échéance;Id scan facture;  Origine scan facture;
26/08/2026;0001;602210;0688;GL0211930E;GAZ;VENTE DE GAZ;1,43800;STANDARD;18,39;EUR;14/08/2026;0688K2608AUCM;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0211930E;GAZ;VENTE DE GAZ;1,43800;STANDARD;23,57;EUR;14/08/2026;0688K2608AUCM;20,00;TICGN GAZ;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0211930E;GAZ;VENTE DE GAZ;0,00001;STANDARD;31,12;EUR;14/08/2026;0688K2608AUCM;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0211930E;GAZ;VENTE DE GAZ;0,00001;STANDARD;51,91;EUR;14/08/2026;0688K2608AUCM;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0211930E;GAZ;VENTE DE GAZ;1,43800;STANDARD;75,10;EUR;14/08/2026;0688K2608AUCM;20,00;DEBOURS P1 GAZ;;;14/08/2026;;;B00000008J
26/08/2026;0001;445660;0688;GL0211930E;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;40,14;EUR;14/08/2026;0688K2608AUCM;20,00;;;;14/08/2026;;;B00000008J
26/08/2026;0001;401050;0688;GL0020676W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;76,96;EUR;14/08/2026;0688K2608ATZQ;;;;;14/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;0,00001;STANDARD;17,55;EUR;14/08/2026;0688K2608ATZQ;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;0,00001;STANDARD;46,58;EUR;14/08/2026;0688K2608ATZQ;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000006G
26/08/2026;0001;445660;0688;GL0020676W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;12,83;EUR;14/08/2026;0688K2608ATZQ;20,00;;;;14/08/2026;;;B00000006G
26/08/2026;0001;401050;0688;GL0020676W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;92,14;EUR;14/08/2026;0688K2608ATZN;;;;;14/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;0,00001;STANDARD;19,28;EUR;14/08/2026;0688K2608ATZN;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;0,00001;STANDARD;57,50;EUR;14/08/2026;0688K2608ATZN;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000006G
26/08/2026;0001;445660;0688;GL0020676W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;15,36;EUR;14/08/2026;0688K2608ATZN;20,00;;;;14/08/2026;;;B00000006G
26/08/2026;0001;401050;0688;GL0020676W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;256,57;EUR;14/08/2026;0688K2608ATYF;;;;;14/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;0,00001;STANDARD;71,46;EUR;14/08/2026;0688K2608ATYF;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000006G
26/08/2026;0001;602210;0688;GL0020676W;GAZ;VENTE DE GAZ;0,00001;STANDARD;142,35;EUR;14/08/2026;0688K2608ATYF;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000006G
26/08/2026;0001;445660;0688;GL0020676W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;42,76;EUR;14/08/2026;0688K2608ATYF;20,00;;;;14/08/2026;;;B00000006G
26/08/2026;0001;401050;0688;GL0038745D;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;59,87;EUR;14/08/2026;0688K2608AUKF;;;;;14/08/2026;;;B00000003D
26/08/2026;0001;602210;0688;GL0038745D;GAZ;VENTE DE GAZ;0,00001;STANDARD;13,50;EUR;14/08/2026;0688K2608AUKF;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000003D
26/08/2026;0001;602210;0688;GL0038745D;GAZ;VENTE DE GAZ;0,00001;STANDARD;36,39;EUR;14/08/2026;0688K2608AUKF;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000003D
26/08/2026;0001;445660;0688;GL0038745D;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;9,98;EUR;14/08/2026;0688K2608AUKF;20,00;;;;14/08/2026;;;B00000003D
26/08/2026;0001;401050;0688;GL1444167Z;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;65,29;EUR;14/08/2026;0688K2608AUHZ;;;;;14/08/2026;;;B00000003D
26/08/2026;0001;602210;0688;GL1444167Z;GAZ;VENTE DE GAZ;0,00001;STANDARD;15,49;EUR;14/08/2026;0688K2608AUHZ;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000003D
26/08/2026;0001;602210;0688;GL1444167Z;GAZ;VENTE DE GAZ;0,00001;STANDARD;38,92;EUR;14/08/2026;0688K2608AUHZ;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000003D
26/08/2026;0001;445660;0688;GL1444167Z;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;10,88;EUR;14/08/2026;0688K2608AUHZ;20,00;;;;14/08/2026;;;B00000003D
26/08/2026;0001;401050;0688;GL1444366A;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;52,37;EUR;14/08/2026;0688K2608AUJC;;;;;14/08/2026;;;B00000003D
26/08/2026;0001;602210;0688;GL1444366A;GAZ;VENTE DE GAZ;0,00001;STANDARD;10,58;EUR;14/08/2026;0688K2608AUJC;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000003D
26/08/2026;0001;602210;0688;GL1444366A;GAZ;VENTE DE GAZ;0,00001;STANDARD;33,06;EUR;14/08/2026;0688K2608AUJC;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000003D
26/08/2026;0001;445660;0688;GL1444366A;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;8,73;EUR;14/08/2026;0688K2608AUJC;20,00;;;;14/08/2026;;;B00000003D
26/08/2026;0001;401050;0688;GL1388636W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;73,85;EUR;14/08/2026;0688K2608AUCU;;;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL1388636W;GAZ;VENTE DE GAZ;0,00001;STANDARD;13,70;EUR;14/08/2026;0688K2608AUCU;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL1388636W;GAZ;VENTE DE GAZ;0,00001;STANDARD;47,84;EUR;14/08/2026;0688K2608AUCU;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000008J
26/08/2026;0001;445660;0688;GL1388636W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;12,31;EUR;14/08/2026;0688K2608AUCU;20,00;;;;14/08/2026;;;B00000008J
26/08/2026;0001;401050;0688;GL0044937P;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;171,53;EUR;14/08/2026;0688K2608AUEJ;;;;;14/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL0044937P;GAZ;VENTE DE GAZ;0,15600;STANDARD;0,07;EUR;14/08/2026;0688K2608AUEJ;20,00;GAZ - MECANISME CPB;;;14/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL0044937P;GAZ;VENTE DE GAZ;0,15600;STANDARD;2,00;EUR;14/08/2026;0688K2608AUEJ;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;14/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL0044937P;GAZ;VENTE DE GAZ;0,15600;STANDARD;2,56;EUR;14/08/2026;0688K2608AUEJ;20,00;TICGN GAZ;;;14/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL0044937P;GAZ;VENTE DE GAZ;0,15600;STANDARD;8,36;EUR;14/08/2026;0688K2608AUEJ;20,00;DEBOURS P1 GAZ;;;14/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL0044937P;GAZ;VENTE DE GAZ;0,00001;STANDARD;49,95;EUR;14/08/2026;0688K2608AUEJ;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL0044937P;GAZ;VENTE DE GAZ;0,00001;STANDARD;80,00;EUR;14/08/2026;0688K2608AUEJ;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000002C
26/08/2026;0001;445660;0688;GL0044937P;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;28,59;EUR;14/08/2026;0688K2608AUEJ;20,00;;;;14/08/2026;;;B00000002C
26/08/2026;0001;401050;0688;GL1425641X;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;48,52;EUR;14/08/2026;0688K2608ATYK;;;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1425641X;GAZ;VENTE DE GAZ;0,00001;STANDARD;10,65;EUR;14/08/2026;0688K2608ATYK;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1425641X;GAZ;VENTE DE GAZ;0,00001;STANDARD;29,78;EUR;14/08/2026;0688K2608ATYK;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000004E
26/08/2026;0001;445660;0688;GL1425641X;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;8,09;EUR;14/08/2026;0688K2608ATYK;20,00;;;;14/08/2026;;;B00000004E
26/08/2026;0382;401050;0367;GL1425435M;BIO;Facture intragroupe CID 0367;0,00001;STANDARD;152316,26;EUR;14/08/2026;0367S26084834;;;;;14/08/2026;;;B00000003D
26/08/2026;0382;602210;0367;GL1425435M;BIO;LIVRAISONS BIOMASSE;4075,26290;STANDARD;138469,33;EUR;14/08/2026;0367S26084834;10,00;DEBOURS P1 BIOMASSE;;;14/08/2026;;;B00000003D
26/08/2026;0382;445660;0367;GL1425435M;BIO;Facture intragroupe CID 0367;0,00001;STANDARD;13846,93;EUR;14/08/2026;0367S26084834;10,00;;;;14/08/2026;;;B00000003D
26/08/2026;0001;401050;0688;GL0318567H;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;46,82;EUR;14/08/2026;0688K2608AUAP;;;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0318567H;GAZ;VENTE DE GAZ;0,00001;STANDARD;4,63;EUR;14/08/2026;0688K2608AUAP;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0318567H;GAZ;VENTE DE GAZ;0,00001;STANDARD;34,39;EUR;14/08/2026;0688K2608AUAP;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000008J
26/08/2026;0001;445660;0688;GL0318567H;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;7,8;EUR;14/08/2026;0688K2608AUAP;20,00;;;;14/08/2026;;;B00000008J
26/08/2026;0001;401050;0688;GL0018047H;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;241,92;EUR;14/08/2026;0688K2608AUCD;;;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0018047H;GAZ;VENTE DE GAZ;1,60400;STANDARD;0,65;EUR;14/08/2026;0688K2608AUCD;20,00;GAZ - MECANISME CPB;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0018047H;GAZ;VENTE DE GAZ;1,60400;STANDARD;20,51;EUR;14/08/2026;0688K2608AUCD;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0018047H;GAZ;VENTE DE GAZ;0,00001;STANDARD;23,40;EUR;14/08/2026;0688K2608AUCD;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0018047H;GAZ;VENTE DE GAZ;1,60400;STANDARD;26,29;EUR;14/08/2026;0688K2608AUCD;20,00;TICGN GAZ;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0018047H;GAZ;VENTE DE GAZ;0,00001;STANDARD;40,97;EUR;14/08/2026;0688K2608AUCD;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0018047H;GAZ;VENTE DE GAZ;1,60400;STANDARD;89,78;EUR;14/08/2026;0688K2608AUCD;20,00;DEBOURS P1 GAZ;;;14/08/2026;;;B00000008J
26/08/2026;0001;445660;0688;GL0018047H;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;40,32;EUR;14/08/2026;0688K2608AUCD;20,00;;;;14/08/2026;;;B00000008J
26/08/2026;0001;401050;0688;GL0045524G;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;64,57;EUR;14/08/2026;0688K2608AUHA;;;;;14/08/2026;;;B00000003D
26/08/2026;0001;602210;0688;GL0045524G;GAZ;VENTE DE GAZ;0,00001;STANDARD;53,81;EUR;14/08/2026;0688K2608AUHA;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000003D
26/08/2026;0001;445660;0688;GL0045524G;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;10,76;EUR;14/08/2026;0688K2608AUHA;20,00;;;;14/08/2026;;;B00000003D
26/08/2026;0001;401050;0688;GL0050062N;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;61,06;EUR;14/08/2026;0688K2608AULA;;;;;14/08/2026;;;B00000003D
26/08/2026;0001;602210;0688;GL0050062N;GAZ;VENTE DE GAZ;0,00001;STANDARD;7,73;EUR;14/08/2026;0688K2608AULA;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000003D
26/08/2026;0001;602210;0688;GL0050062N;GAZ;VENTE DE GAZ;0,00001;STANDARD;43,15;EUR;14/08/2026;0688K2608AULA;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000003D
26/08/2026;0001;445660;0688;GL0050062N;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;10,18;EUR;14/08/2026;0688K2608AULA;20,00;;;;14/08/2026;;;B00000003D
26/08/2026;0001;401050;0688;GL1140527D;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;137,98;EUR;14/08/2026;0688K2608ATXA;;;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140527D;GAZ;VENTE DE GAZ;0,15300;STANDARD;0,06;EUR;14/08/2026;0688K2608ATXA;20,00;GAZ - MECANISME CPB;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140527D;GAZ;VENTE DE GAZ;0,15300;STANDARD;1,95;EUR;14/08/2026;0688K2608ATXA;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140527D;GAZ;VENTE DE GAZ;0,15300;STANDARD;2,51;EUR;14/08/2026;0688K2608ATXA;20,00;TICGN GAZ;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140527D;GAZ;VENTE DE GAZ;0,15300;STANDARD;6,46;EUR;14/08/2026;0688K2608ATXA;20,00;DEBOURS P1 GAZ;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140527D;GAZ;VENTE DE GAZ;0,00001;STANDARD;44,52;EUR;14/08/2026;0688K2608ATXA;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140527D;GAZ;VENTE DE GAZ;0,00001;STANDARD;59,48;EUR;14/08/2026;0688K2608ATXA;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000004E
26/08/2026;0001;445660;0688;GL1140527D;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;23;EUR;14/08/2026;0688K2608ATXA;20,00;;;;14/08/2026;;;B00000004E
26/08/2026;0001;401050;0688;GL1140530G;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;93,33;EUR;14/08/2026;0688K2608ATXB;;;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140530G;GAZ;VENTE DE GAZ;0,01100;STANDARD;0,14;EUR;14/08/2026;0688K2608ATXB;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140530G;GAZ;VENTE DE GAZ;0,01100;STANDARD;0,18;EUR;14/08/2026;0688K2608ATXB;20,00;TICGN GAZ;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140530G;GAZ;VENTE DE GAZ;0,01100;STANDARD;0,46;EUR;14/08/2026;0688K2608ATXB;20,00;DEBOURS P1 GAZ;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140530G;GAZ;VENTE DE GAZ;0,00001;STANDARD;30,13;EUR;14/08/2026;0688K2608ATXB;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140530G;GAZ;VENTE DE GAZ;0,00001;STANDARD;46,86;EUR;14/08/2026;0688K2608ATXB;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000004E
26/08/2026;0001;445660;0688;GL1140530G;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;15,56;EUR;14/08/2026;0688K2608ATXB;20,00;;;;14/08/2026;;;B00000004E
26/08/2026;0001;401050;0688;GL1140547B;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;45,94;EUR;14/08/2026;0688K2608ATXG;;;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140547B;GAZ;VENTE DE GAZ;0,08700;STANDARD;0,03;EUR;14/08/2026;0688K2608ATXG;20,00;GAZ - MECANISME CPB;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140547B;GAZ;VENTE DE GAZ;0,08700;STANDARD;1,11;EUR;14/08/2026;0688K2608ATXG;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140547B;GAZ;VENTE DE GAZ;0,08700;STANDARD;1,43;EUR;14/08/2026;0688K2608ATXG;20,00;TICGN GAZ;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140547B;GAZ;VENTE DE GAZ;0,08700;STANDARD;3,67;EUR;14/08/2026;0688K2608ATXG;20,00;DEBOURS P1 GAZ;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140547B;GAZ;VENTE DE GAZ;0,00001;STANDARD;6,18;EUR;14/08/2026;0688K2608ATXG;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140547B;GAZ;VENTE DE GAZ;0,00001;STANDARD;25,86;EUR;14/08/2026;0688K2608ATXG;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000004E
26/08/2026;0001;445660;0688;GL1140547B;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;7,66;EUR;14/08/2026;0688K2608ATXG;20,00;;;;14/08/2026;;;B00000004E
26/08/2026;0001;401050;0688;GL1140552G;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;45,85;EUR;14/08/2026;0688K2608ATXJ;;;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140552G;GAZ;VENTE DE GAZ;0,03300;STANDARD;0,01;EUR;14/08/2026;0688K2608ATXJ;20,00;GAZ - MECANISME CPB;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140552G;GAZ;VENTE DE GAZ;0,03300;STANDARD;0,42;EUR;14/08/2026;0688K2608ATXJ;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140552G;GAZ;VENTE DE GAZ;0,03300;STANDARD;0,54;EUR;14/08/2026;0688K2608ATXJ;20,00;TICGN GAZ;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140552G;GAZ;VENTE DE GAZ;0,03300;STANDARD;1,39;EUR;14/08/2026;0688K2608ATXJ;20,00;DEBOURS P1 GAZ;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140552G;GAZ;VENTE DE GAZ;0,00001;STANDARD;8,21;EUR;14/08/2026;0688K2608ATXJ;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000004E
26/08/2026;0001;602210;0688;GL1140552G;GAZ;VENTE DE GAZ;0,00001;STANDARD;27,64;EUR;14/08/2026;0688K2608ATXJ;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000004E
26/08/2026;0001;445660;0688;GL1140552G;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;7,64;EUR;14/08/2026;0688K2608ATXJ;20,00;;;;14/08/2026;;;B00000004E
26/08/2026;0001;401050;0688;GL0016584W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;51,90;EUR;14/08/2026;0688K2608AUCE;;;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0016584W;GAZ;VENTE DE GAZ;0,00001;STANDARD;10,48;EUR;14/08/2026;0688K2608AUCE;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0016584W;GAZ;VENTE DE GAZ;0,00001;STANDARD;32,77;EUR;14/08/2026;0688K2608AUCE;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000008J
26/08/2026;0001;445660;0688;GL0016584W;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;8,65;EUR;14/08/2026;0688K2608AUCE;20,00;;;;14/08/2026;;;B00000008J
26/08/2026;0001;401050;0688;GL1220583B;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;692,01;EUR;14/08/2026;0688K2608AUFF;;;;;14/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL1220583B;GAZ;VENTE DE GAZ;1,85900;STANDARD;0,76;EUR;14/08/2026;0688K2608AUFF;20,00;GAZ - MECANISME CPB;;;14/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL1220583B;GAZ;VENTE DE GAZ;1,85900;STANDARD;14,07;EUR;14/08/2026;0688K2608AUFF;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;14/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL1220583B;GAZ;VENTE DE GAZ;1,85900;STANDARD;30,47;EUR;14/08/2026;0688K2608AUFF;20,00;TICGN GAZ;;;14/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL1220583B;GAZ;VENTE DE GAZ;1,85900;STANDARD;92,86;EUR;14/08/2026;0688K2608AUFF;20,00;DEBOURS P1 GAZ;;;14/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL1220583B;GAZ;VENTE DE GAZ;0,00001;STANDARD;111,90;EUR;14/08/2026;0688K2608AUFF;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000002C
26/08/2026;0001;602210;0688;GL1220583B;GAZ;VENTE DE GAZ;0,00001;STANDARD;326,62;EUR;14/08/2026;0688K2608AUFF;20,00;DEBOURS P1 GAZ PARTIES FIXES;;;14/08/2026;;;B00000002C
26/08/2026;0001;445660;0688;GL1220583B;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;115,33;EUR;14/08/2026;0688K2608AUFF;20,00;;;;14/08/2026;;;B00000002C
26/08/2026;0001;401050;0688;GL0015824G;GAZ;Facture intragroupe CID 0688;0,00001;STANDARD;1059,39;EUR;14/08/2026;0688K2608AUFL;;;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0015824G;GAZ;VENTE DE GAZ;6,47100;STANDARD;2,65;EUR;14/08/2026;0688K2608AUFL;20,00;GAZ - MECANISME CPB;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0015824G;GAZ;VENTE DE GAZ;6,47100;STANDARD;78,17;EUR;14/08/2026;0688K2608AUFL;20,00;DEBOURS P1 GAZ DISTRIBUTION;;;14/08/2026;;;B00000008J
26/08/2026;0001;602210;0688;GL0015824G;GAZ;VENTE DE GAZ;0,00001;STANDARD;97,08;EUR;14/08/2026;0688K2608AUFL;20,00;DEBOURS P1 GAZ STOCKAGE;;;14/08/2026;;;B00000008J
