"PROGRAMME","NOM_COURT","APPLICATION","ANNEE","MOIS","STATUT","NB_EXECUTIONS","DUREE_MOY_MIN","DUREE_MAX_MIN","DUREE_MIN_MIN","DUREE_TOTALE_MIN"
"Gestionnaire de donnÃ©es des soldes de comptes non soldÃ©s","XLATBDMG","XLA","2026","2026-03","Normal",35792,"0.09","0.18","0.08","3152.40"
"DKA : CrÃ©er une comptabilisation - Immobilisations (Lancement de SFAACCPB)","DKA_SFAACCPB","DKA","2026","2026-03","Normal",34320,"0.54","2.25","0.00","18381.60"
"Programme de demande de traitement des rÃ¨glements","APXPBASL","SQLAP","2026","2026-03","Normal",34184,"0.02","0.25","0.00","575.47"
"Copie en haut volume pÃ©riodique","FAMCP","OFA","2026","2026-03","Normal",31152,"0.04","0.15","0.00","1360.00"
"AUD : Audit de transfert des coÃ»ts fournisseur","PAAPIMPR","PA","2026","2026-03","Normal",23360,"0.26","0.50","0.05","5959.20"
"PRC : TransfÃ©rer les coÃ»ts fournisseur","PAAPIMP_SI","PA","2026","2026-03","Normal",21728,"0.31","12.33","0.00","6796.27"
"Collection de tableaux de bord pour les applications OAM","FNDOAMCOL","FND","2026","2026-03","Normal",21384,"0.29","1.98","0.12","6203.07"
"DKA : Lanceur (SHELL)","DKA_SLAUNCHER","DKA","2026","2026-03","Normal",14544,"9.01","759.02","0.00","131107.73"
"DKA : Echeancier Fournisseur Provisoire","DKA_APXCRRCR","DKA","2026","2026-03","Normal",14480,"2.22","6.08","0.98","32081.60"
"Etat relatif Ã  la sÃ©lection de l'Ã©chÃ©ancier de paiement","APINVSEL","SQLAP","2026","2026-03","Normal",13008,"0.06","0.42","0.05","786.40"
"CrÃ©er des rÃ¨glements","IBYBUILD","IBY","2026","2026-03","Normal",11376,"0.08","0.33","0.07","883.33"
"Phase du jeu de traitements","FNDRSSTG","FND","2026","2026-03","Normal",10448,"2.75","183.02","0.00","28692.00"
"Importer des commandes standard","POXPOPDOI","PO","2026","2026-03","Normal",10104,"0.37","3.40","0.00","3774.40"
"Formater les instructions de rÃ¨glement avec sortie texte","IBY_FD_PAYMENT_FORMAT_TEXT","IBY","2026","2026-03","Normal",9384,"0.09","0.95","0.07","888.40"
"Phase du jeu de traitements","FNDRSSTG","FND","2026","2026-03","Warning",9376,"3.40","942.07","0.02","31909.20"
"DKA : CrÃ©ation du fichier avis de prÃ©lÃ¨vement","DKA_RARPREL_PDF","DKA","2026","2026-03","Normal",9136,"0.06","0.08","0.05","579.73"
"Rapprochement - Rapprochement automatique","GLXRCAUT","SQLGL","2026","2026-03","Normal",7920,"0.08","13.00","0.05","635.47"
"DKA : Import des donnees depuis l'open Interface AP","DKA_OPEN_INTERFACE_AP_EAI","DKA","2026","2026-03","Normal",6128,"8.15","56.92","0.30","49918.13"
"Import par l'interface factures","RAXTRX","AR","2026","2026-03","Normal",5800,"0.68","10.30","0.20","3946.00"
"DKA : Lanceur (SHELL)","DKA_SLAUNCHER","DKA","2026","2026-03","Warning",5776,"3.52","115.03","0.35","20316.80"
"Traiter les mouvements en attente","FAPPT","OFA","2026","2026-03","Normal",5264,"0.01","0.08","0.00","48.27"
"ExÃ©cution d'amortissement","FADEPR","OFA","2026","2026-03","Normal",5264,"0.01","0.62","0.00","78.00"
"DKA : ClÃ´ture de la pÃ©riode FA","DKA_SFACLOTURE","DKA","2026","2026-03","Normal",5160,"4.97","8.02","0.25","25662.67"
"Programme maÃ®tre de l'interface factures","RAXMTR","AR","2026","2026-03","Normal",4568,"0.79","4.27","0.30","3594.93"
"Jeu d'Ã©tats","FNDRSSUB","FND","2026","2026-03","Warning",4520,"2.14","24.40","1.55","9650.40"
"PRC : Traiter les mises Ã  jour de structure de projet","PAPMPRPB","PA","2026","2026-03","Normal",4496,"0.09","1.65","0.00","385.47"
"PRC : Coefficients des frais gÃ©nÃ©raux compilÃ©s lors de l'ajout d'une nouvelle organisation","PACOANOR","PA","2026","2026-03","Normal",4496,"0.02","0.07","0.00","68.13"
"DKA : Interface de crÃ©ation des codes projets, tÃ¢ches et affaire","DKA_IPROJECT","DKA","2026","2026-03","Warning",4496,"1.96","6.85","1.47","8800.93"
"DKA : Interface des centres finances","DKA_ICENTREFIN","DKA","2026","2026-03","Warning",4496,"0.04","0.12","0.00","183.07"
"DKA : Mise Ã  jour quotidienne des sites fournisseurs dupliquÃ©s","DKA_SAPFRSDUPLI_MAJ","DKA","2026","2026-03","Normal",3656,"0.85","56.77","0.00","3099.47"
"DKA : DÃ©sactivation/rÃ©activation d'un site de rÃ¨glement fournisseur","DKA_SPOSTFNS_DESACT","DKA","2026","2026-03","Normal",3560,"0.00","0.18","0.00","14.67"
"Imputation : Livre unique","GLPPOSS","SQLGL","2026","2026-03","Normal",3544,"0.07","5.88","0.00","246.27"
"DKA : SOX - Ouverture/Fermeture/Deblocage de commande","DKA_SPOOUVFERCOM","DKA","2026","2026-03","Normal",3104,"0.05","5.00","0.00","163.60"
"DKA : France - DAS2 DÃ©tail par fournisseur","DKA_JEFRDVER","DKA","2026","2026-03","Normal",3088,"0.49","3.07","0.23","1514.67"
"DKA : France - DAS2 Etat papier du fichier Ã©lectronique","DKA_JEFRDVER01","DKA","2026","2026-03","Normal",3088,"0.54","3.55","0.22","1659.07"
"Formater les instructions de rÃ¨glement","IBY_FD_PAYMENT_FORMAT","IBY","2026","2026-03","Normal",2888,"0.10","0.25","0.08","288.93"
"Programme - Contrepassation automatique","GLPARV","SQLGL","2026","2026-03","Normal",2640,"5.06","758.68","0.02","13363.60"
"Programme de crÃ©ation de remises automatiques (API)","AUTOREMAPI","AR","2026","2026-03","Normal",2256,"1.02","3.00","1.00","2308.40"
"DKA : France - Bordereau des prÃ©lÃ¨vements clients","DKAPR02","AR","2026","2026-03","Normal",2224,"0.06","0.17","0.05","140.27"
"RÃ©imprimer le rÃ©sultat des traitements simultanÃ©s","FNDREPRINT","FND","2026","2026-03","Normal",2224,"0.01","0.02","0.00","12.27"
"DKA : Duplication en masse des sites fournisseurs","DKA_SAPFRSDUPLI_MASSE","DKA","2026","2026-03","Normal",2000,"0.13","2.82","0.00","250.13"
"DQM - Programme de synchronisation d'index en sÃ©rie","ARHDQMSS","AR","2026","2026-03","Normal",1952,"0.30","0.48","0.12","578.40"
"PiÃ¨ce rÃ©pÃ©titive","GLPRJE","SQLGL","2026","2026-03","Normal",1872,"0.09","0.28","0.02","160.13"
"DKA : ContrÃ´le DAS2","DKA_SAPDAS2_CTL","DKA","2026","2026-03","Normal",1824,"0.02","0.10","0.00","45.33"
"Jeu d'Ã©tats","FNDRSSUB","FND","2026","2026-03","Normal",1808,"13.81","79.62","0.03","24962.13"
"Interface rÃ¨glements","ARLPLB","AR","2026","2026-03","Normal",1704,"0.34","18.83","0.22","582.93"
"Demande de traitement pour recalculer les rÃ¨glements","APXRECLC","SQLAP","2026","2026-03","Normal",1632,"0.01","0.07","0.00","9.87"
"PRC : TransfÃ©rer les notes de frais depuis Oracle Payables","PAAPIMP","PA","2026","2026-03","Normal",1632,"0.85","3.78","0.03","1386.27"
"Sous-demande interface clients","RACUSTSB","AR","2026","2026-03","Normal",1320,"13.22","138.83","0.00","17456.00"
"Provisions pour rÃ©ception - Fin de pÃ©riode","CSTPEACR","BOM","2026","2026-03","Normal",1200,"0.02","0.05","0.00","23.20"
"Etat des mouvements non comptabilisÃ©s (XML)(1)","APXUATR_XMLP","SQLAP","2026","2026-03","Normal",1184,"0.97","1.42","0.42","1149.20"
"Etat des mouvements non comptabilisÃ©s (XML)","APXUATR_XMLP","SQLAP","2026","2026-03","Normal",1184,"0.97","1.42","0.42","1149.20"
"DKA : Balance grand format","DKA_GLYRLBGE","DKA","2026","2026-03","Normal",1000,"0.15","0.77","0.10","145.60"
"DKA : Edition des relevÃ©s bancaires pour les CSP","DKA_SRBRELBANC_CSP","DKA","2026","2026-03","Normal",984,"0.58","0.90","0.02","575.33"
"XXRB - Detail rapprochement automatique","RBMAEDLN","XXRB","2026","2026-03","Normal",968,"0.39","1.32","0.05","376.53"
"Copie en haut volume pÃ©riodique","FAMCP","OFA","2026","2026-03","Warning",840,"0.04","0.10","0.00","33.60"
"DKA : Etat des prÃ©lÃ¨vements remis en banque","DKA_RAR_PRELEVBQUE","DKA","2026","2026-03","Normal",768,"0.09","0.12","0.07","66.13"
"DKA : Automatisation des prÃ©lÃ¨vements remis en banque","DKA_SARAUTOPRELEVBQUE","DKA","2026","2026-03","Normal",768,"0.51","0.52","0.50","388.93"
"DKA : Traitement de validation des factures CSP","DKA_SAPWFCSP","DKA","2026","2026-03","Normal",760,"8.50","30.18","0.00","6462.27"
"Traitement du processeur enfant de validation de factures","WORKERAPPRVL","SQLAP","2026","2026-03","Warning",704,"6.83","52.57","0.03","4810.13"
"EasyLink","GLLEZL","SQLGL","2026","2026-03","Warning",680,"0.02","0.07","0.00","15.87"
"DKA : Confirmation des lots de rÃ¨glements pour prÃ©lÃ¨vement automatique","DKA_ARCONFIRMLOT","DKA","2026","2026-03","Normal",608,"2.43","4.35","1.00","1478.53"
"DKA : Reporting des mvts sans image","DKA_SAPRPT_MVTS_SANS_IMAGE","DKA","2026","2026-03","Normal",608,"0.09","0.12","0.07","51.73"
"DKA : Envoi d'un email avec attachement","DKA_MAIL","DKA","2026","2026-03","Normal",592,"0.20","0.35","0.00","119.60"
"DKA : Edition des fichiers de contrÃ´le de pre-cloture","DKA_SCTRLMODULE_EDT","DKA","2026","2026-03","Normal",584,"11.01","34.93","0.72","6432.00"
"DKA : Envoi par mail des fichiers de contrÃ´le de prÃ©-clÃ´ture","DKA_SCTRLMODULE_MAIL","DKA","2026","2026-03","Normal",584,"0.01","0.02","0.00","3.47"
"DKA : Envoi par mail des fichiers de situation Oracle du matin","DKA_SCTRLMOD_MOA_MAIL","DKA","2026","2026-03","Normal",568,"0.01","0.02","0.00","4.13"
"DKA : Situation Oracle du matin","DKA_SCTRLMOD_MOA_EDT","DKA","2026","2026-03","Normal",568,"43.82","186.70","1.13","24888.93"
"PRC : GÃ©nÃ©rer des lignes d'immobilisation pour un projet unique","PAXCPGAL_SINGLE","PA","2026","2026-03","Normal",544,"0.06","0.08","0.05","33.87"
"DKA : CrÃ©ation des lots de rÃ¨glements pour prÃ©lÃ¨vement automatique","DKA_ARLOTREG","DKA","2026","2026-03","Normal",536,"6.46","38.42","0.75","3461.87"
"DKA : Edition des factures de refacturation","DKA_SARREFAC_GPE","DKA","2026","2026-03","Normal",512,"0.21","1.22","0.10","110.00"
"Validation de factures","APPRVL","SQLAP","2026","2026-03","Warning",496,"11.21","55.82","2.13","5557.73"
"Purger traitements et/ou donnÃ©es des GTS","FNDCPPUR","FND","2026","2026-03","Normal",488,"0.24","1.07","0.02","116.27"
"DKA : Import des commandes depuis iValua","DKA_IPOCDE_IVALUA","DKA","2026","2026-03","Warning",480,"5.00","23.62","0.08","2400.93"
"DKA : Comptabilisation AR","DKA_SXLAACCPBAR","DKA","2026","2026-03","Normal",456,"1.90","6.27","0.68","864.40"
"DKA : Transfert des Ã©critures d'ajustements AR vers PA","DKA_SPAAJUSTAR_TRANSFER","DKA","2026","2026-03","Normal",456,"0.01","0.02","0.00","3.87"
"DKA : Interface des factures manuelles sur projets","DKA_SARFACMAN","DKA","2026","2026-03","Normal",456,"8.56","23.02","4.72","3901.60"
"DKA : ContrÃ´le DAS2","DKA_SAPDAS2_CTL","DKA","2026","2026-03","Warning",432,"0.04","1.12","0.00","19.20"
"Processeur des mouvements de rÃ©ception","RVCTP","PO","2026","2026-03","Normal",416,"1.34","9.12","0.02","557.33"
"DKA : Mise Ã  jour commande - Imputations comptables","DKA_SPOMAJIC","DKA","2026","2026-03","Normal",400,"0.01","0.02","0.00","3.20"
"Processus Workflow en arriÃ¨re-plan","FNDWFBG","FND","2026","2026-03","Normal",392,"1.10","11.52","0.00","432.27"
"DKA : Envoi des Ã©tats pour le prÃ©lÃ¨vement automatique","DKA_SARRGLTPRLV_MAIL","DKA","2026","2026-03","Normal",384,"0.00","0.02","0.00","0.53"
"Collecter les statistiques du schÃ©ma","FNDGSCST","FND","2026","2026-03","Normal",360,"22.58","259.10","0.50","8130.53"
"XXRB - Rapprochement","RBMATCHG","XXRB","2026","2026-03","Normal",352,"1.12","3.58","0.00","394.67"
"XXRB - Balance de rapprochement","RBMAEDBL","XXRB","2026","2026-03","Normal",344,"0.43","0.93","0.05","149.33"
"Collecter les statistiques de la table","FNDGTST","FND","2026","2026-03","Normal",320,"0.44","2.77","0.00","142.40"
"DKA : Import des donnÃ©es Fournisseurs depuis iValua","DKA_IPOFRS_IVALUA","DKA","2026","2026-03","Warning",312,"6.03","17.52","1.58","1879.87"
"DKA : Import des donnÃ©es Fournisseurs depuis iValua - Chargement des fichiers","DKA_IPOFRS_IVALUA_LOADER","DKA","2026","2026-03","Normal",304,"1.15","2.17","0.55","348.93"
"DKA : Rapprochement automatique RB sur toutes sociÃ©tÃ©s","DKA_SRBRAPAUTO","DKA","2026","2026-03","Normal",288,"3.20","8.00","2.25","922.93"
"PRC : TransfÃ©rer des immobilisations vers Oracle Assets","PAXCPCAL","PA","2026","2026-03","Normal",272,"0.06","0.07","0.05","15.73"
"Imputation des acquisitions crÃ©Ã©es en haut volume","FAMAPT","OFA","2026","2026-03","Normal",272,"0.02","0.05","0.00","4.53"
"Etat Imputation des acquisitions en haut volume","FAS824","OFA","2026","2026-03","Normal",272,"0.06","0.07","0.05","15.60"
"XXRB - Rapprochement automatique","RBMATRUN","XXRB","2026","2026-03","Normal",272,"2.69","5.02","2.02","730.40"
"DKA : CrÃ©ation des lots de rÃ¨glements pour prÃ©lÃ¨vement automatique","DKA_ARLOTREG","DKA","2026","2026-03","Warning",272,"12.62","72.80","0.03","3432.53"
"DKA : Etat des avoirs Ã  rembourser","DKA_SARETAT_AVOIR_REG","DKA","2026","2026-03","Normal",256,"0.00","0.02","0.00","1.20"
"DKA : ContrÃ´le des relevÃ©s bancaires","DKA_SRBCTRLRB","DKA","2026","2026-03","Normal",248,"0.11","0.30","0.08","26.13"
"DKA : Balance Ã¢gÃ©e client par chargÃ© de recouvrement (XLS)","DKA_RARBALCHARG","DKA","2026","2026-03","Normal",240,"0.20","0.43","0.10","47.60"
"DKA : Import des donnÃ©es RÃ©ceptions depuis iValua","DKA_IPORECEPTION_IVALUA","DKA","2026","2026-03","Warning",240,"4.97","23.58","0.38","1192.80"
"Programme de comptabilisation","XLAACCUP","XLA","2026","2026-03","Warning",240,"0.90","6.32","0.00","214.93"
"CrÃ©er une comptabilisation","XLAACCPB","XLA","2026","2026-03","Warning",240,"1.49","8.23","0.62","358.80"
"DKA - FA : Imputer des acquisitions en haut volume","DKA_FA_FNDRSSUB46","DKA","2026","2026-03","Normal",232,"0.34","0.35","0.33","78.27"
"DKA - FA : PRC : TransfÃ©rer des immobilisations vers Oracle Assets","DKA_FA_PAXCPCAL","DKA","2026","2026-03","Normal",232,"0.34","0.35","0.33","77.73"
"XXRB - Import fichier des banques","RBAFBIMP","XXRB","2026","2026-03","Warning",232,"0.12","0.22","0.05","28.40"
"DKA - FA : PRC : Valider l'importation des lignes d'immobilisation dans Oracle Assets","DKA_FA_PACFATBP","DKA","2026","2026-03","Normal",232,"0.34","0.35","0.33","78.27"
"DKA - FA : Automatisation des acquisitions en HV","DKA_FA_AUTOACQ","DKA","2026","2026-03","Normal",232,"0.03","0.10","0.02","6.00"
"Jeu de traitements DKA : GÃ©nÃ©ration des immobilisations dans FA","DKA_SJTFAGENIMMO","DKA","2026","2026-03","Normal",232,"1.57","1.72","1.50","363.60"
"Programme - Imputation automatique","GLPAUTOP","SQLGL","2026","2026-03","Normal",216,"1.41","36.77","0.02","305.07"
"DKA : Registre des rÃ¨glements clients","DKA_RARREGREGCLI","DKA","2026","2026-03","Normal",216,"1.43","2.73","1.10","308.40"
"DKA : Campagne de rÃ¨glements - CrÃ©ation du fichier APIMPORT","DKA_CREATE_APIMPORT_FILE","DKA","2026","2026-03","Normal",208,"0.01","0.02","0.00","1.87"
"DKA : Comptabilisation AP","DKA_SXLAACCPB","DKA","2026","2026-03","Normal",208,"18.06","40.22","2.10","3757.47"
"DKA : Etat calcul du poids","DKA_SSATIPOIDS_RDF","DKA","2026","2026-03","Normal",208,"0.06","0.07","0.05","12.40"
"DKA : Approbation toutes sociÃ©tÃ©s des factures fournisseurs","DKA_SAPAPPRVL","DKA","2026","2026-03","Normal",208,"31.02","67.98","15.47","6451.47"
"DKA : Campagne de rÃ¨glements - Alimentation des tables AP Import","DKA_IEOAPSAT01_APIMP","DKA","2026","2026-03","Normal",208,"0.04","0.18","0.02","7.73"
"DKA : Calcul du poids SATI et envoi de mail","DKA_SSATIPOIDSMAIL","DKA","2026","2026-03","Normal",208,"0.50","0.52","0.50","104.80"
"DKA : PAC : Importer les factures fournisseurs depuis Oracle AP","DKA_SPAAPIMP_SI","DKA","2026","2026-03","Normal",208,"2.12","3.77","1.52","441.47"
"DKA: Etat AR Balance Ã¢gÃ©e par chargÃ© de recouvrement","DKA_RARBALCHAR","DKA","2026","2026-03","Normal",208,"0.76","1.43","0.45","158.67"
"DKA : PAC : TransfÃ©rer les notes de frais depuis Oracle Payables","DKA_SPAAPIMP","DKA","2026","2026-03","Normal",208,"0.02","0.13","0.02","4.80"
"DKA - FA : Copie en haut volume pÃ©riodique","DKA_FA_FAMCP","DKA","2026","2026-03","Warning",200,"0.34","0.35","0.33","67.60"
"DKA : RÃ¨glements automatiques toutes sociÃ©tÃ©s des factures fournisseurs","DKA_SAPAUTORGT","DKA","2026","2026-03","Normal",184,"64.28","90.85","14.33","11827.20"
"DKA : Rattachement de l'avis de virement au rÃ¨glement AP","DKA_SAPVIR_ATTACH","DKA","2026","2026-03","Normal",184,"2.39","38.97","0.00","439.73"
"Imputation","GLPPOS","SQLGL","2026","2026-03","Normal",184,"8.40","34.23","0.08","1546.13"
"DKA : Envoi avis de virement par mail","DKA_SAPVIR_MAIL","DKA","2026","2026-03","Normal",176,"0.25","3.80","0.00","44.40"
"DKA : CrÃ©ation blocages toutes sociÃ©tÃ©s avant comptabilisation factures AP","DKA_SAPCREATE_BLOCAGES_ALL","DKA","2026","2026-03","Normal",176,"0.51","0.85","0.27","89.87"
"DKA : Imputation GL","DKA_SGLIMPUTATION","DKA","2026","2026-03","Normal",176,"10.65","40.68","0.33","1874.13"
"DKA : Automatisation de dÃ©blocage BAP factures rapprochÃ©es des commandes SSTR en PMTDIR","DKA_SAPDEBAUTOSSTR","DKA","2026","2026-03","Normal",176,"0.02","0.05","0.00","3.07"
"DKA : GÃ©nÃ©ration des piÃ¨ces rÃ©pÃ©titives - Compte Rendu par CdG","DKA_SGLABONNEMENT_CR","DKA","2026","2026-03","Normal",176,"0.00","0.02","0.00","0.40"
"DKA : Automatisation envoi avis de virement par mail","DKA_SAPAUTOVIR_MAIL","DKA","2026","2026-03","Normal",176,"6.22","89.02","0.42","1094.27"
"DKA : Lanceur (SHELL)","DKA_SLAUNCHER","DKA","2026","2026-03","Erreur",168,"320.97","1538.40","0.00","53923.60"
"DKA : Mouvements Ã©ligibles au prÃ©lÃ¨vement automatique","DKAR_AR_FACNLETRREES","DKA","2026","2026-03","Normal",160,"0.33","0.55","0.22","52.53"
"DKA : Duplication en masse des sites fournisseurs","DKA_SAPFRSDUPLI_MASSE","DKA","2026","2026-03","Warning",160,"0.03","0.17","0.00","4.80"
"DKA : Annulation des notifications obsolÃ¨tes CSP","DKA_SAPWFCSPNTF","DKA","2026","2026-03","Normal",152,"0.06","0.15","0.00","8.93"
"Purger les donnÃ©es d'exÃ©cution de workflow obsolÃ¨tes","FNDWFPR","FND","2026","2026-03","Normal",152,"0.43","0.65","0.18","65.20"
"DKA : Post traitement d'approbation du mouvement","DKA_SAPPOST_APPRO_MVT","DKA","2026","2026-03","Normal",152,"0.11","0.22","0.07","16.00"
"DKA : Export des donnÃ©es factures AP pour Datalake","DKA_SAPEXTDATAFACT","DKA","2026","2026-03","Normal",152,"1.56","2.57","0.63","236.80"
"DKA : Rattachement des images Xerox","DKA_IAPLOADIMG_XEROX","DKA","2026","2026-03","Normal",152,"2.03","2.58","1.57","308.40"
"DKA : Export de Blocages Factures pour le Datalake","DKA_SAPEXTDATABLOC","DKA","2026","2026-03","Normal",152,"0.29","0.75","0.22","44.27"
"DKA : Transfert d'Ã©critures GL vers PA","DKA_SPACUTOFF_TRANSFER","DKA","2026","2026-03","Normal",152,"3.49","17.83","1.57","530.93"
"DKA : IntÃ©gration des factures XEROX","DKA_IAPFACXGS","DKA","2026","2026-03","Normal",144,"44.47","86.78","14.35","6404.27"
"DKA : Extraction des engagÃ©s vers Hercule","DKA_IPAEXT_ENG_HER","DKA","2026","2026-03","Normal",144,"22.35","30.48","18.78","3218.80"
"DKA Compression des fichiers en zip","DKA_COMPRESS_FICHIER","DKA","2026","2026-03","Normal",144,"0.01","0.05","0.00","2.13"
"DKA : Edition des relevÃ©s bancaires pour les CSP","DKA_SRBRELBANC_CSP","DKA","2026","2026-03","Warning",144,"0.58","0.78","0.40","84.13"
"DKA : Chargement du fichier des factures ZCI","DKA_LOAD_IAPFACZCI_TMP","DKA","2026","2026-03","Normal",128,"0.01","0.02","0.00","0.93"
"DKA : Automatisation des factures Ã©ligibles au prÃ©lÃ¨vement client","DKA_SARRGLTPRLV_AUTO1","DKA","2026","2026-03","Normal",128,"0.57","0.68","0.50","73.47"
"DKA : Chargement du fichier des factures ZCI - Loader","DKA_IAPFACZCI_LOADER","DKA","2026","2026-03","Normal",128,"0.34","0.35","0.33","44.13"
"DKA : Etat provisoire des prÃ©lÃ¨vements clients","DKA_RAR_PRELEVCLINET","DKA","2026","2026-03","Normal",128,"0.09","0.10","0.08","11.60"
"DKA : Etat dÃ©finitif des prÃ©lÃ¨vements clients","DKA_RAR_PRELEVCLINETDEF","DKA","2026","2026-03","Normal",128,"0.20","0.27","0.15","25.60"
"DKA : Edition et envoi par mail de l'Ã©tat de la facturation et des commandes CITY","DKA_SPOCMDMAIL_CITY","DKA","2026","2026-03","Normal",128,"0.09","0.13","0.05","11.73"
"DKA : Automatisation de l'Ã©tat dÃ©finitif des prÃ©lÃ¨vements clients","DKA_SARRGLTPRLV_AUTO3","DKA","2026","2026-03","Normal",128,"0.47","0.50","0.33","60.00"
"DKA : Automatisation de l'Ã©tat provisoire des prÃ©lÃ¨vements clients","DKA_SARRGLTPRLV_AUTO2","DKA","2026","2026-03","Normal",128,"0.34","0.35","0.33","43.47"
"DKA : Confirmation des lots de rÃ¨glements pour prÃ©lÃ¨vement automatique","DKA_ARCONFIRMLOT","DKA","2026","2026-03","Warning",128,"1.82","3.67","1.00","232.93"
"DKA : SÃ©lection des avoirs non soldÃ©s Ã  rembourser","DKA_SARSELECAVOIR","DKA","2026","2026-03","Normal",128,"0.03","0.03","0.03","4.27"
"DKA : Alimentation des tables OA factures ZCI","DKA_POPULATE_ZCI_TABLES","DKA","2026","2026-03","Normal",128,"0.00","0.02","0.00","0.53"
"Sortie d'ordre d'achat pour communication","POXPOPDF","PO","2026","2026-03","Normal",120,"0.35","0.43","0.20","42.40"
"DKA : Import des codes de dÃ©blocage Facture depuis IVALUA - Chargement du fichier","DKA_IAPFAC_DEBLOC_LOADER","DKA","2026","2026-03","Normal",112,"0.20","0.23","0.17","22.93"
"DKA : Chargement du fichier des factures Xerox","DKA_LOAD_IAPFACXGS_TMP","DKA","2026","2026-03","Normal",112,"0.01","0.02","0.00","1.20"
"DKA : Chargement du fichier des factures DSP","DKA_LOAD_IAPFACDSP_TMP","DKA","2026","2026-03","Normal",112,"0.01","0.02","0.00","1.20"
"DKA : Alimentation des tables factures Xerox","DKA_POPULATE_XGS_TABLES","DKA","2026","2026-03","Normal",112,"0.02","0.03","0.00","1.73"
"DKA : Import des codes de dÃ©blocage Facture depuis IVALUA","DKA_IAPFAC_DEBLOC_INTERFACE","DKA","2026","2026-03","Warning",112,"1.57","2.65","0.92","175.87"
"Balance Ã¢gÃ©e - 4 catÃ©gories","ARXAGE","AR","2026","2026-03","Normal",112,"0.53","0.75","0.43","59.47"
"DKA : Alimentation des tables OA factures DSP","DKA_POPULATE_DSP_TABLES","DKA","2026","2026-03","Normal",112,"0.01","0.02","0.00","0.67"
"DKA : Import des donnÃ©es depuis GL_INTERFACE","DKA_IGL_INTERFACE_EAI","DKA","2026","2026-03","Normal",104,"1.62","13.58","0.02","168.40"
"DKA : Insertion des donnÃ©es CDF IVALUA dans la table d'interface","DKA_INSERT_CDF_IVALUA","DKA","2026","2026-03","Normal",104,"0.01","0.02","0.00","0.93"
"DKA : Export des encaissements clients","DKA_SAREXTENCAISSCLIENT","DKA","2026","2026-03","Normal",104,"12.06","37.53","5.63","1253.73"
"DKA : Export des commandes OA vers Xerox","DKA_IPOEXTRACTCDE","DKA","2026","2026-03","Normal",104,"0.21","0.33","0.18","22.13"
"DKA : campagne de lettrage Ã  zÃ©ro","DKA_CAMPAGNE_LETTRAGE_ZERO","DKA","2026","2026-03","Warning",104,"1.60","4.68","0.68","166.80"
"DKA : Import des commandes depuis iValua - Chargement des fichiers","DKA_IPOCDEIVALUA_LOADER","DKA","2026","2026-03","Normal",104,"1.16","1.32","0.98","121.07"
