Sté CAP,Région CA,Sté Cde,Cde,Ligne Cde,Projet,Num tâche,Date clô,Date fer,Type dépense,Compte imputation,Fournisseur,Qté Cde.,Qté reçue,Qté Fact. Rapprochée,Prix U.,Montant Prov.,Motif rejet,Description article
0001,DRW,0001,BC1263246,1,FA0019789M,GX1352840T,25/06/24,25/06/25,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00001337V.A00008568L.FA0019789M.0.0.0.0,ORTEC INDUSTRIE,1,1,0,1820,1820,Le projet / tÃ¢che FA0019789M/GX1352840T n'est pas valide Ã  la date du 31-MAR-26,C24078150-1 - TH2-COOLING-EVACUATION DECHETS R+4
0001,DRW,0001,BC1283958,1,FA0080998T,GX1331672N,25/06/24,25/06/25,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00001338W.A00015382E.FA0080998T.0.0.0.0,JDS BATI'SERVICES,1,1,0,2365,2365,Le projet / tÃ¢che FA0080998T/GX1331672N n'est pas valide Ã  la date du 31-MAR-26,ReprIse soudure gaz sur nourrIce gaz chaufferIe 1et2 Floréal
0001,DRW,0001,BC1285709,1,FA0066510E,GX1359202Y,27/08/24,27/08/25,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00002659X.A00019041M.FA0066510E.0.0.0.0,SINGA ASTRALI,1,1,0,2000,2000,Le projet / tÃ¢che FA0066510E/GX1359202Y n'est pas valide Ã  la date du 31-MAR-26,DE-8-2024-309.1
0001,DRW,0001,BC1328054,1,FA0076803B,GX1338041B,26/12/24,26/12/25,ACHAT FOURN.ENT.PETIT EQUIPM,0001.DRW.606350.65121.XXX0551.B00001325F.A00017757D.FA0076803B.0.0.0.0,SOGETH SOC GENERALE THERMIQUE,1,1,0,"838,6","838,6",Le projet / tÃ¢che FA0076803B/GX1338041B n'est pas valide Ã  la date du 31-MAR-26,ADOUCISSEUR
0001,DRW,0001,BC1278543,1,FA0018950J,GT1357723S,27/08/24,27/08/25,ACHAT FOURN.ENT.PETIT EQUIPM,0001.DRW.606350.64112.0.B00001306J.A00008266T.FA0018950J.0.0.0.0,SCGA,1,1,",164074366","3608,12","3016,12",Le projet / tÃ¢che FA0018950J/GT1357723S n'est pas valide Ã  la date du 31-MAR-26,GT1357723S DREM ATLANTIC TETE BRULEUR CHAUDIERE VARINO GRANDE ARCHE DE NOE
0001,DRW,0001,BC1278775,1,FA0019781D,GX1303789D,26/07/24,26/07/25,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00001342A.A00008565H.FA0019781D.0.0.0.0,MITSUBISHI ELECTRIC,1,1,",5",8700,4350,Le projet / tÃ¢che FA0019781D/GX1303789D n'est pas valide Ã  la date du 31-MAR-26,GF
0001,DRW,0001,BC1280178,1,FA0018828W,GX1328353S,30/09/24,30/09/25,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00001299B.A00008168G.FA0018828W.0.0.0.0,CALO SERVICES,1,1,0,2790,2790,Le projet / tÃ¢che FA0018828W/GX1328353S n'est pas valide Ã  la date du 31-MAR-26,travaux de calorIfuge sur gaInes local technIque
0001,DRW,0001,BC948297,1,FA0066539M,GX1201415V,28/10/24,28/10/25,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00002659X.A00019041M.FA0066539M.0.0.0.0,ATL EXPANSION,1,1,0,"12491,6","12491,6",Le projet / tÃ¢che FA0066539M/GX1201415V n'est pas valide Ã  la date du 31-MAR-26,Safran VIlgénIs GX1201415V - RYH34PN GER - Travaux de refonte des salles de formatIons lot 2nd uvre plafond Sagem
0001,DRW,0001,BC948298,1,FA0066539M,GX1201415V,28/10/24,28/10/25,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00002659X.A00019041M.FA0066539M.0.0.0.0,ATL EXPANSION,1,1,0,"12284,4","12284,4",Le projet / tÃ¢che FA0066539M/GX1201415V n'est pas valide Ã  la date du 31-MAR-26,Safran VIlgénIs GX1201415V - RYH34PN GER - Travaux de refonte des salles de formatIons lot 2nd uvre plafond Snecma
0001,DRW,0001,BC957563,1,FA0019853K,GT1222174J,25/06/24,25/06/25,ACHAT FOURN.ENT.PETIT EQUIPM,0001.DRW.606350.64112.XXX0551.B00003207V.A00008592N.FA0019853K.0.0.0.0,SOGETH SOC GENERALE THERMIQUE,1,1,0,1865,1865,Le projet / tÃ¢che FA0019853K/GT1222174J n'est pas valide Ã  la date du 31-MAR-26,LocatIon semestrIelle 2023
0001,DRW,0001,BC957875,1,FA0071360R,GX1228030N,25/09/24,25/09/25,LOCATION MATERIEL OUTILL,0001.DRW.613500.65111.0.B00001343B.A00019955B.FA0071360R.0.0.0.0,COOLWORLD RENTALS,1,1,0,1594,1594,Le projet / tÃ¢che FA0071360R/GX1228030N n'est pas valide Ã  la date du 31-MAR-26,Commande selon facture F23.001602
0001,DRW,0001,BC959287,1,FA0082211X,GX1229620W,25/04/24,25/10/24,ACHAT FOURN.ENT.PETIT EQUIPM,0001.DRW.606350.65121.XXX0551.B00001951S.A00013581H.FA0082211X.0.0.0.0,SOGETH SOC GENERALE THERMIQUE,1,1,0,1280,1280,Le projet / tÃ¢che FA0082211X/GX1229620W n'est pas valide Ã  la date du 31-MAR-26,P6 Urssaf evry C23135012-2 MO
0001,DRW,0001,BC961752,1,FA0048962N,GL0212533P,29/01/24,29/07/25,S/T AUTRES  ENTRETIENS,0001.DRW.611000.63181.0.B00003181P.A00015990W.FA0048962N.0.0.0.0,K.S. SERVICES,1,1,",891392215","12635,19","1372,28",Le projet / tÃ¢che FA0048962N/GL0212533P n'est pas valide Ã  la date du 31-MAR-26,GL0212533P - PRESTATION SECOND OEUVRE KS SERVICE PARTIES PRIVATIVES L'OREAL - KS SERVICES
0001,DRW,0001,BC965573,1,FA0081646E,GX1223465B,19/12/24,19/12/25,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00001305H.A00008167F.FA0081646E.0.0.0.0,FRANCHE COMTE TRAVAUX PUBLICS,1,1,0,7900,7900,Le projet / tÃ¢che FA0081646E/GX1223465B n'est pas valide Ã  la date du 31-MAR-26,"CENTRE AQUATIQUE-BOURAS-FCTP-OUVERTURE FERMETURE SUR 3X3X1,2ML AVEC ENROBE SUR 12M2-DEVIS 2023CP0529"
0001,DRW,0001,4719387,1,FA0061269Z,GX0374758L,25/02/20,25/08/20,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00001343B.A00017778C.FA0061269Z.0.0.0.0,CARSO - LABORATOIRE SANTE ENVIRONNEMENT HYGIENE DE LYON,1,1,",8513512",7104,"1056,00108",Le projet / tÃ¢che FA0061269Z/GX0374758L n'est pas valide Ã  la date du 31-MAR-26,Intervention selon devis CARSO N°LSEC18-2940/03
0001,DRW,0001,4719775,1,FA0036514T,GL0055777H,28/03/22,28/09/23,ACHAT FOURN.ENT.PETIT EQUIPM,0001.DRW.606350.63311.0.B00001923K.A00011304W.FA0036514T.0.0.0.0,HUB ONE,6720,6720,"4753,52",1,"1966,48",Le projet / tÃ¢che FA0036514T/GL0055777H n'est pas valide Ã  la date du 31-MAR-26,D016 556-VEN-DEV-CF-IOT
,,,,,,,,,,,,,,,,,,Capteurs Dalkia CDG
,,,,,,,,,,,,,,,,,,30 capteurs + abonnement 24 mois
0001,DRW,0001,4882736,10,FA0036514T,GL0055777H,28/03/22,28/09/23,CVCD/PLOMBERIE/ELECTRICITE,0001.DRW.611000.63113.0.B00001923K.A00011304W.FA0036514T.0.0.0.0,SARP-OSIS IDF,1,1,0,6275,6275,Le projet / tÃ¢che FA0036514T/GL0055777H n'est pas valide Ã  la date du 31-MAR-26,Prestation de curage 4400-4420 selon offre PJ5020200992
0001,DRW,0001,4886431,1,FA0036514T,GL0055777H,28/03/22,28/09/23,S/T AUTRES  ENTRETIENS,0001.DRW.611000.63181.0.B00001923K.A00011304W.FA0036514T.0.0.0.0,DALKIA ELECTROTECHNICS,1,1,0,"2430,2","2430,2",Le projet / tÃ¢che FA0036514T/GL0055777H n'est pas valide Ã  la date du 31-MAR-26,Commande selon votre devis n°2011-774 du 13/11/2020 intervention éclairage extérieure
0001,DRW,0001,4902037,1,FA0036514T,GL0055777H,28/03/22,28/09/23,S/T AUTRES  ENTRETIENS,0001.DRW.611000.63181.0.B00001923K.A00011304W.FA0036514T.0.0.0.0,ALIMAK  GROUP FRANCE,1,1,0,"4095,8","4095,8",Le projet / tÃ¢che FA0036514T/GL0055777H n'est pas valide Ã  la date du 31-MAR-26,Commande selon votre devis n° AH00001524/R
0001,DRW,0001,4816528,1,FA0036514T,GL0055777H,28/03/22,28/09/23,S/T AUTRES  ENTRETIENS,0001.DRW.611000.63181.0.B00001923K.A00011304W.FA0036514T.0.0.0.0,CHUBB FRANCE,1,1,0,"1341,9","1341,9",Le projet / tÃ¢che FA0036514T/GL0055777H n'est pas valide Ã  la date du 31-MAR-26,Commande selon votre proposition pour la vérification des bâtiments rajoutés
0001,DRW,0001,4735883,1,FA0036360T,GX0404654J,26/01/21,26/07/21,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00001343B.A00008553V.FA0036360T.0.0.0.0,VMSO - 410650006,"1164,56","1164,56",0,1,"1164,56",Le projet / tÃ¢che FA0036360T/GX0404654J n'est pas valide Ã  la date du 31-MAR-26,Bon pour accord selon devis N° 02100059/2018
0001,DRW,0001,4772923,1,FA0026597Z,GX0483152L,27/04/20,27/10/20,ACHAT MATIERES CONSOM.DIVERS,0001.DRW.606800.65121.0.B00001337V.A00009796G.FA0026597Z.0.0.0.0,CDA,1060,1060,0,1,1060,Le projet / tÃ¢che FA0026597Z/GX0483152L n'est pas valide Ã  la date du 31-MAR-26,CDA devis PR1903-0139 du 22/03/2019 test simultané poteaux incendie Les ULIS
0001,DRW,0001,4774159,1,FA0019935D,GT0481643X,25/02/20,25/08/20,SOUS TRAITANTS,0001.DRW.611000.64111.0.B00001296Y.A00008613M.FA0019935D.0.0.0.0,MCD,"23273,39","23273,39","16267,69",1,"7005,7",Le projet / tÃ¢che FA0019935D/GT0481643X n'est pas valide Ã  la date du 31-MAR-26,REFECTION ECHANGEUR GEOTHERMAL N°1 MA1 SELON DEVIS 1901500
0001,DRW,0001,BC162146,1,FA0021941H,GX0903786E,26/10/22,26/04/23,ACHAT MAT.PIECES DETACHEES,0001.DRW.601000.65121.0.B00001338W.A00009684E.FA0021941H.0.0.0.0,CUENOD,1,1,",939576412",28896,1746,Le projet / tÃ¢che FA0021941H/GX0903786E n'est pas valide Ã  la date du 31-MAR-26,HIA Percy - CUENOD Commande selon devis N°2018/740 A  du  23/11/2021  - fourniture brûleur N6.2900 GL-EF3/BT3+prestations de pose
0001,DRW,0001,BC750165,1,FC0068233M,GY0903346E,18/10/24,18/10/25,ACHAT FOURN.ENT.PETIT EQUIPM,0001.DRW.231800.12110.0.B00001316W.A00008297D.FC0068233M.F20.0.0.0,ADEUNIS,50,50,0,"76,96",3848,Le projet / tÃ¢che FC0068233M/GY0903346E n'est pas valide Ã  la date du 31-MAR-26,lot de 500 PULSE ATEX
0001,DRW,0001,BC164341,1,FA0066542R,GX0904972C,26/07/22,26/01/23,ACHAT FOURN.ENT.PETIT EQUIPM,0001.DRW.606350.65121.0.B00002659X.A00019041M.FA0066542R.0.0.0.0,GENERALE FRIGORIFIQUE,1,1,",03857515","3784,82","3638,82",Le projet / tÃ¢che FA0066542R/GX0904972C n'est pas valide Ã  la date du 31-MAR-26,Commande selon devis N°0073127012
0001,DRW,0001,BC579912,1,FA0080056Y,GL1052728G,05/08/24,05/02/26,CVCD/PLOMBERIE/ELECTRICITE,0001.DRW.611000.63113.0.B00001334R.A00021806E.FA0080056Y.0.0.0.0,SOCIETE DAPPLICATION ET D INGENIERIE INDUSTRIELLE ET INFORMATIQUE-SA3I,1,1,",5","3424,4","1712,2",Le projet / tÃ¢che FA0080056Y/GL1052728G n'est pas valide Ã  la date du 31-MAR-26,VIsIte réglementaIre des 6 onduleurs Immeuble CAPITOLE.
0001,DRW,0001,BC604588,1,FA0060744C,GX1084801D,28/08/23,28/02/24,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00001334R.A00017688A.FA0060744C.0.0.0.0,FAAC ENTRANCE SOLUTIONS FRANCE,1,1,0,2261,2261,Le projet / tÃ¢che FA0060744C/GX1084801D n'est pas valide Ã  la date du 31-MAR-26,commande FAAC N° d'offre: Offre AAS-155105 RéparatIon portaIl CEA
0001,DRW,0001,3942951,1,FA0007889P,GL0007729H,31/08/17,28/02/19,S/T MULTISERVICE NETT/SECURIT,0001.DRW.611000.63111.0.B00001332N.A00002245B.FA0007889P.0.0.0.0,ANTARTICA MULTISERVICES OLD,1,1,0,"1549,82","1549,82",Le projet / tÃ¢che FA0007889P/GL0007729H n'est pas valide Ã  la date du 31-MAR-26,Régularisation de votre intervention concernant le remplacement de deux serrures selon votre devis N°DV16057
0001,DRW,0001,3965543,1,FB0049713S,GS0214062C,31/08/18,28/02/19,SOUS TRAITANTS,0001.DRW.611000.68311.0.B00002238T.A00000000A.FB0049713S.0.0.0.0,JARDINS DE GALLY,30,30,0,1,30,Le projet / tÃ¢che FB0049713S/GS0214062C n'est pas valide Ã  la date du 31-MAR-26,Travaux d'engazonnement sur terrain de sport et dépierrage sur terrain avenue de Provence selon votre devis N°D16001704 du 21/04/2016
0001,DRW,0001,4601347,6,FC0058246N,GY0225191Z,06/04/20,06/10/20,SOUS TRAITANTS,0001.DRW.231800.12110.0.B00001306J.A00008279H.FC0058246N.F20.0.0.0,VALEA,1,1,0,300,300,Le projet / tÃ¢che FC0058246N/GY0225191Z n'est pas valide Ã  la date du 31-MAR-26,POSE COMPTEUR ELECTRIQUE GROUPE CLOS DES VIGNES SELON DEVIS N° 2829
0001,DRW,0001,4629101,1,FC0058246N,GY0225191Z,06/04/20,06/10/20,ACHAT MAT.PIECES DETACHEES,0001.DRW.231800.12110.0.B00001306J.A00008279H.FC0058246N.F20.0.0.0,BWT FRANCE,",1011553",",1011553",0,"1064,7","107,700048",Le projet / tÃ¢che FC0058246N/GY0225191Z n'est pas valide Ã  la date du 31-MAR-26,FILTRE DESEMBOUEUR 5/9
0001,DRW,0001,4681614,1,FC0058246N,GY0225191Z,06/04/20,06/10/20,SOUS TRAITANTS,0001.DRW.231800.12110.0.B00001306J.A00008279H.FC0058246N.F20.0.0.0,VIT ISOLATION,1580,1580,0,1,1580,Le projet / tÃ¢che FC0058246N/GY0225191Z n'est pas valide Ã  la date du 31-MAR-26,RAGREAGE SOCLE ANCIENNES CHAUDIERES  ET MISE EN PEINTURE A LA CRECHE DARRACQ SURESNES SELON DEVIS N° DD10004
0001,DRW,0001,4645424,1,FA0033996G,GX0171593S,28/01/20,28/07/20,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00001319Z.A00013885D.FA0033996G.0.0.0.0,GRDF,1,1,0,"865,8","865,8",Le projet / tÃ¢che FA0033996G/GX0171593S n'est pas valide Ã  la date du 31-MAR-26,devis 20384375
0001,DRW,0001,4187662,1,FA0049712R,GX0214058Y,31/12/16,30/06/17,ACHAT MAT.PIECES DETACHEES,0001.DRW.601000.65121.0.B00002238T.A00015363H.FA0049712R.0.0.0.0,REXEL FRANCE,",233913754",",233913754",0,"1149,74","268,94",Le projet / tÃ¢che FA0049712R/GX0214058Y n'est pas valide Ã  la date du 31-MAR-26,ACCORD SUIVANT DEVIS N°000055440 POUR QH
0001,DRW,0001,3952999,1,FA0049712R,GT0214059Z,31/01/19,31/07/19,ACHAT FOURN.ENT.PETIT EQUIPM,0001.DRW.606350.64132.0.B00002238T.A00015363H.FA0049712R.0.0.0.0,SCGA,",110864376",",110864376",0,"4088,96","453,32",Le projet / tÃ¢che FA0049712R/GT0214059Z n'est pas valide Ã  la date du 31-MAR-26,Devis N°  50230669. + option : 059260.059563.059592.880833. Chantier: Ecole Jules Ferry
0001,DRW,0001,4047177,1,FA0049712R,GT0214059Z,31/01/19,31/07/19,SOUS TRAITANTS,0001.DRW.611000.64131.0.B00002238T.A00015363H.FA0049712R.0.0.0.0,SARL 3B RENOV,1,1,0,385,385,Le projet / tÃ¢che FA0049712R/GT0214059Z n'est pas valide Ã  la date du 31-MAR-26,COMMANDE TRAVAUX GAINE COUPE FEU ANNEXE RAY LOUIS DEVIS  DE02044
0001,DRW,0001,4138527,1,FA0049712R,GX0214058Y,31/12/16,30/06/17,ACHAT MAT.PIECES DETACHEES,0001.DRW.601000.65121.0.B00002238T.A00015363H.FA0049712R.0.0.0.0,GROUPE EMILE DUFOUR,1,1,0,1208,1208,Le projet / tÃ¢che FA0049712R/GX0214058Y n'est pas valide Ã  la date du 31-MAR-26,COMMANDE SELON DEVIS N°PAL161679 POUR UN MONTANT DE 1208 POMPE NEUVE.
0001,DRW,0001,4138527,2,FA0049712R,GX0214058Y,31/12/16,30/06/17,ACHAT MAT.PIECES DETACHEES,0001.DRW.601000.65121.0.B00002238T.A00015363H.FA0049712R.0.0.0.0,GROUPE EMILE DUFOUR,1,1,0,545,545,Le projet / tÃ¢che FA0049712R/GX0214058Y n'est pas valide Ã  la date du 31-MAR-26,COMMANDE SELON DEVIS N°PAL161679 POUR UN MONTANT DE 545 POMPE REVISEE.
0001,DRW,0001,4280726,1,FA0049712R,GT0214059Z,31/01/19,31/07/19,SOUS TRAITANTS,0001.DRW.611000.64131.0.B00002238T.A00015363H.FA0049712R.0.0.0.0,NAZZARO FRANCK OLD,1,1,0,359,359,Le projet / tÃ¢che FA0049712R/GT0214059Z n'est pas valide Ã  la date du 31-MAR-26,TRX SUIVANT DEVIS DE 17127
0001,DRW,0001,4280726,2,FA0049712R,GT0214059Z,31/01/19,31/07/19,SOUS TRAITANTS,0001.DRW.611000.64131.0.B00002238T.A00015363H.FA0049712R.0.0.0.0,NAZZARO FRANCK OLD,1,1,0,283,283,Le projet / tÃ¢che FA0049712R/GT0214059Z n'est pas valide Ã  la date du 31-MAR-26,TRX SUIVANT DEVIS DE 17132
0001,DRW,0001,4285049,1,FA0049712R,GT0214059Z,31/01/19,31/07/19,ACHAT MAT.PIECES DETACHEES,0001.DRW.601000.64132.0.B00002238T.A00015363H.FA0049712R.0.0.0.0,VEOLIA WATER STI,1,1,0,"346,6","346,6",Le projet / tÃ¢che FA0049712R/GT0214059Z n'est pas valide Ã  la date du 31-MAR-26,Accord Devis N° DS-2-BB-170343 du 03-02-2017 Raccordement Filmogène
0001,DRW,0001,4285125,1,FA0049712R,GX0214058Y,31/12/16,30/06/17,SOUS TRAITANTS,0001.DRW.611000.65111.0.B00002238T.A00015363H.FA0049712R.0.0.0.0,ABDELLAZIS DRARIS - FERME CESSATION,1,1,0,275,275,Le projet / tÃ¢che FA0049712R/GX0214058Y n'est pas valide Ã  la date du 31-MAR-26,REGUL TX RADI NEJJAI CROIX NIVERT
0001,DRW,0001,4310452,1,FA0049712R,GT0214059Z,31/01/19,31/07/19,ACHAT MAT.PIECES DETACHEES,0001.DRW.601000.64132.0.B00002238T.A00015363H.FA0049712R.0.0.0.0,SAKKARAH,1,1,0,"362,6","362,6",Le projet / tÃ¢che FA0049712R/GT0214059Z n'est pas valide Ã  la date du 31-MAR-26,Commande de 7 plaques échangeur ECS S/ST 01 selon devis SAKKARAH D17020594 du 23/02/2017
0001,DRW,0001,4326019,1,FA0049712R,GT0214059Z,31/01/19,31/07/19,ACHAT MAT.PIECES DETACHEES,0001.DRW.601000.64132.0.B00002238T.A00015363H.FA0049712R.0.0.0.0,CLARKE ENERGY FRANCE,",000868657",",000868657",0,"28480,77","24,7400202",Le projet / tÃ¢che FA0049712R/GT0214059Z n'est pas valide Ã  la date du 31-MAR-26,GE7 - pièces pour maintenance 30K selon devis DEV1700386 et DEV1700389
0001,DRW,0001,4375624,1,FA0049712R,GT0214059Z,31/01/19,31/07/19,ACHAT MAT.PIECES DETACHEES,0001.DRW.601000.64132.0.B00002238T.A00015363H.FA0049712R.0.0.0.0,DISTRIBUTION SANITAIRE CHAUFFAGE,",30816641",",30816641",0,"1460,25",450,Le projet / tÃ¢che FA0049712R/GT0214059Z n'est pas valide Ã  la date du 31-MAR-26,COMMANDE SELON DEVIS D121971 DU 27/03/2017
0001,DRW,0001,4395309,1,FA0049712R,GT0214059Z,31/01/19,31/07/19,ACHAT MAT.PIECES DETACHEES,0001.DRW.601000.64132.0.B00002238T.A00015363H.FA0049712R.0.0.0.0,VIESSMANN FRANCE,1,1,0,"205,8","205,8",Le projet / tÃ¢che FA0049712R/GT0214059Z n'est pas valide Ã  la date du 31-MAR-26,COMMANDE EN ECHANGE SOUS GARANTIE  BON DE COMMANDE 4385981 COMMANDE 0602181344 REF 7831294 DEFECTUEUSE VUE AVEC ST VIESSMAN
0001,DRW,0001,4395616,1,FA0049712R,GT0214059Z,31/01/19,31/07/19,SOUS TRAITANTS,0001.DRW.611000.64131.0.B00002238T.A00015363H.FA0049712R.0.0.0.0,SERVELITE,1,1,0,401,401,Le projet / tÃ¢che FA0049712R/GT0214059Z n'est pas valide Ã  la date du 31-MAR-26,CDE SUIVANT DEVIS A LA STE SERV'ELITE AGENCE DE RUNGIS PARC D'AFFAIRES SILIC 116 RUE DES SOLETS 94643 RUNGIS POUR LE IMMEUBLE 2/4/6 RUE DANIELLE MITTERRAND 95870 BEZONS
0001,DRW,0001,4390954,1,FA0049712R,GT0214059Z,31/01/19,31/07/19,ACHAT MATIERES CONSOM.DIVERS,0001.DRW.606800.64132.0.B00002238T.A00015363H.FA0049712R.0.0.0.0,ESSO SOCIETE ANONYME FRANCAISE,",0047247",",0047247",0,"12669,6","59,8600591",Le projet / tÃ¢che FA0049712R/GT0214059Z n'est pas valide Ã  la date du 31-MAR-26,commande de 8000L d'huile Mobil Pegasus 705 vrac selon tarif site Dalkia Le Plessis-Gassot
0001,DRW,0001,4385981,1,FA0049712R,GT0214059Z,31/01/19,31/07/19,ACHAT MAT.PIECES DETACHEES,0001.DRW.601000.64132.0.B00002238T.A00015363H.FA0049712R.0.0.0.0,VIESSMANN FRANCE,",25",",25",0,496,124,Le projet / tÃ¢che FA0049712R/GT0214059Z n'est pas valide Ã  la date du 31-MAR-26,devis 0620708307
0001,DRW,0001,BC608679,3,FA0071364W,GX1087521V,27/11/23,27/05/24,SOUS TRAITANTS,0001.DRW.611000.65111.XXX2522.B00001343B.A00019955B.FA0071364W.0.0.0.0,DALKIA FROID SOLUTIONS,1,1,0,"1062,83","1062,83",Le projet / tÃ¢che FA0071364W/GX1087521V n'est pas valide Ã  la date du 31-MAR-26,Régul Inter 28/10/2022
0001,DRW,0001,BC608679,4,FA0071364W,GX1087521V,27/11/23,27/05/24,SOUS TRAITANTS,0001.DRW.611000.65111.XXX2522.B00001343B.A00019955B.FA0071364W.0.0.0.0,DALKIA FROID SOLUTIONS,1,1,0,"333,99","333,99",Le projet / tÃ¢che FA0071364W/GX1087521V n'est pas valide Ã  la date du 31-MAR-26,Régul Inter 28/10/2022 (2e)
0001,DRW,0001,BC614270,1,FA0079480T,GX1089687F,31/05/24,31/05/25,SOUS TRAITANTS,0001.DRW.611000.65111.XXX0551.B00001295X.A00009806T.FA0079480T.0.0.0.0,SOGETH SOC GENERALE THERMIQUE,1,1,0,"6250,64","6250,64",Le projet / tÃ¢che FA0079480T/GX1089687F n'est pas valide Ã  la date du 31-MAR-26,SM-EquIlIbrage chauffage RésIdence RespIr' - Evry suIvant devIs n°C22162267-2
