Date arrÃªtÃ© comptable;Code sociÃ©tÃ©;Compte local;ID fournisseur externe;CodeTache;Code folio;LibellÃ©;QuantitÃ©;Type;Montant;Devise;Date de piÃšce comptable;NumÃ©ro de piÃšce;Taux de TVA;Nature1;Nature2;Type de TVA;Date d'Ã©chÃ©ance;ID scan facture;Origine scan facture;Code region;Source file id;Application source
26/08/2026;0367;445661;78936-FRA62950;GN1654507X;HAF;STANDARD - VLF26G0026;13,72510;STANDARD;933,42;EUR;23/07/2026;VLF26G0026;20,00;;;DED_20.00E;;PRN-FVB0064543-SUEZ---VLF26G0026.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;611600;78936-FRA62950;GN1654507X;HAF;STANDARD - VLF26G0026;13,72510;STANDARD;4667,12;EUR;23/07/2026;VLF26G0026;20,00;COUTS CENDRES;;;;PRN-FVB0064543-SUEZ---VLF26G0026.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;50641-FRA62003;GN1584015S;HAF;STANDARD - 260801940;0,00001;STANDARD;2912,02;EUR;25/08/2026;260801940;0,00;;;;;PRN-FVB0064544-SEDE-260801940.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445661;50641-FRA62003;GN1584015S;HAF;STANDARD - 260801940;27,60000;STANDARD;485,34;EUR;25/08/2026;260801940;20,00;;;DED_20.00E;;PRN-FVB0064544-SEDE-260801940.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;611600;50641-FRA62003;GN1584015S;HAF;STANDARD - 260801940;27,60000;STANDARD;2426,68;EUR;25/08/2026;260801940;20,00;COUTS CENDRES;;;;PRN-FVB0064544-SEDE-260801940.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;50641-FRA62003;GN1583407B;HAF;STANDARD - 260801941;0,00001;STANDARD;2184,00;EUR;25/08/2026;260801941;0,00;;;;;PRN-FVB0064545-SEDE-260801941.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445661;50641-FRA62003;GN1583407B;HAF;STANDARD - 260801941;3,04000;STANDARD;323,00;EUR;25/08/2026;260801941;20,00;;;DED_20.00E;;PRN-FVB0064545-SEDE-260801941.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445661;50641-FRA62003;GL1354778W;HAF;STANDARD - 260801941;1,00000;STANDARD;41,00;EUR;25/08/2026;260801941;20,00;;;DED_20.00E;;PRN-FVB0064545-SEDE-260801941.pdf;PRN;B00000005F;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;611600;50641-FRA62003;GN1583407B;HAF;STANDARD - 260801941;3,04000;STANDARD;1615,00;EUR;25/08/2026;260801941;20,00;COUTS CENDRES;;;;PRN-FVB0064545-SEDE-260801941.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;611600;50641-FRA62003;GL1354778W;HAF;STANDARD - 260801941;1,00000;STANDARD;205,00;EUR;25/08/2026;260801941;20,00;COUTS CENDRES;;;;PRN-FVB0064545-SEDE-260801941.pdf;PRN;B00000005F;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;50641-FRA62003;GL1543865S;HAF;STANDARD - 260801928;0,00001;STANDARD;237,60;EUR;25/08/2026;260801928;0,00;;;;;PRN-FVB0064546-SEDE-260801928-(2).pdf;PRN;B00000002C;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445661;50641-FRA62003;GL1543865S;HAF;STANDARD - 260801928;2,00000;STANDARD;39,60;EUR;25/08/2026;260801928;20,00;;;DED_20.00E;;PRN-FVB0064546-SEDE-260801928-(2).pdf;PRN;B00000002C;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;611600;50641-FRA62003;GL1543865S;HAF;STANDARD - 260801928;2,00000;STANDARD;198,00;EUR;25/08/2026;260801928;20,00;COUTS CENDRES;;;;PRN-FVB0064546-SEDE-260801928-(2).pdf;PRN;B00000002C;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;50641-FRA62003;GL0044144N;HAF;STANDARD - 260801926;0,00001;STANDARD;144,00;EUR;25/08/2026;260801926;0,00;;;;;PRN-FVB0064547-SEDE-260801926.pdf;PRN;B00000002C;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445661;50641-FRA62003;GL0044144N;HAF;STANDARD - 260801926;1,00000;STANDARD;24,00;EUR;25/08/2026;260801926;20,00;;;DED_20.00E;;PRN-FVB0064547-SEDE-260801926.pdf;PRN;B00000002C;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;611600;50641-FRA62003;GL0044144N;HAF;STANDARD - 260801926;1,00000;STANDARD;120,00;EUR;25/08/2026;260801926;20,00;COUTS CENDRES;;;;PRN-FVB0064547-SEDE-260801926.pdf;PRN;B00000002C;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;80143-FRA50750;GN1583541D;HAF;STANDARD - 5932;0,00001;STANDARD;1537,47;EUR;26/08/2026;5932;0,00;;;;;PRN-FVB0064548-HAIECOBOIS-5932.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445660;80143-FRA50750;GN1583541D;HAF;STANDARD - 5932;8,80000;STANDARD;139,77;EUR;26/08/2026;5932;10,00;;;DED_10.00D;;PRN-FVB0064548-HAIECOBOIS-5932.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;80143-FRA50750;GN1583541D;HAF;STANDARD - 5932;8,80000;STANDARD;1397,70;EUR;26/08/2026;5932;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064548-HAIECOBOIS-5932.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;80143-FRA50750;GN1583542E;HAF;STANDARD - 5933;0,00001;STANDARD;1584,65;EUR;26/08/2026;5933;0,00;;;;;PRN-FVB0064549-HAIECOBOIS-5933.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445660;80143-FRA50750;GN1583542E;HAF;STANDARD - 5933;9,07000;STANDARD;144,06;EUR;26/08/2026;5933;10,00;;;DED_10.00D;;PRN-FVB0064549-HAIECOBOIS-5933.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;80143-FRA50750;GN1583542E;HAF;STANDARD - 5933;9,07000;STANDARD;1440,59;EUR;26/08/2026;5933;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064549-HAIECOBOIS-5933.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;80143-FRA50750;GN1583535X;HAF;STANDARD - 5934;0,00001;STANDARD;995,86;EUR;26/08/2026;5934;0,00;;;;;PRN-FVB0064550-HAIECOBOIS-5934.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445660;80143-FRA50750;GN1583535X;HAF;STANDARD - 5934;5,70000;STANDARD;90,53;EUR;26/08/2026;5934;10,00;;;DED_10.00D;;PRN-FVB0064550-HAIECOBOIS-5934.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;80143-FRA50750;GN1583535X;HAF;STANDARD - 5934;5,70000;STANDARD;905,33;EUR;26/08/2026;5934;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064550-HAIECOBOIS-5934.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;80143-FRA50750;GN1583534W;HAF;STANDARD - 5935;0,00001;STANDARD;1058,76;EUR;26/08/2026;5935;0,00;;;;;PRN-FVB0064551-HAIECOBOIS-5935.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445660;80143-FRA50750;GN1583534W;HAF;STANDARD - 5935;6,06000;STANDARD;96,25;EUR;26/08/2026;5935;10,00;;;DED_10.00D;;PRN-FVB0064551-HAIECOBOIS-5935.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;80143-FRA50750;GN1583534W;HAF;STANDARD - 5935;6,06000;STANDARD;962,51;EUR;26/08/2026;5935;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064551-HAIECOBOIS-5935.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;80143-FRA50750;GN1583466T;HAF;STANDARD - 5936;0,00001;STANDARD;1160,09;EUR;26/08/2026;5936;0,00;;;;;PRN-FVB0064552-HAIECOBOIS-5936.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445660;80143-FRA50750;GN1583466T;HAF;STANDARD - 5936;6,64000;STANDARD;105,46;EUR;26/08/2026;5936;10,00;;;DED_10.00D;;PRN-FVB0064552-HAIECOBOIS-5936.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;80143-FRA50750;GN1583466T;HAF;STANDARD - 5936;6,64000;STANDARD;1054,63;EUR;26/08/2026;5936;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064552-HAIECOBOIS-5936.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;S00098563-ESP26007;GD1588372T;HAF;STANDARD - 9100000465;0,00001;STANDARD;27670,50;EUR;25/08/2026;9100000465;0,00;;;;;PRN-FVB0064553-BOIS-ENERGIE-FRANCE-FACTURE-JUILLET-(3).pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445659;S00098563-ESP26007;GD1588372T;HAF;STANDARD - 9100000465;503,10000;STANDARD;2767,05;EUR;25/08/2026;9100000465;10,00;;;DED_INTRACOM_10.00;;PRN-FVB0064553-BOIS-ENERGIE-FRANCE-FACTURE-JUILLET-(3).pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445769;S00098563-ESP26007;GD1588372T;HAF;STANDARD - 9100000465;503,10000;STANDARD;-2767,05;EUR;25/08/2026;9100000465;-10,00;;;DED_OFFSET_10.00;;PRN-FVB0064553-BOIS-ENERGIE-FRANCE-FACTURE-JUILLET-(3).pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;S00098563-ESP26007;GD1588372T;HAF;STANDARD - 9100000465;503,10000;STANDARD;27670,50;EUR;25/08/2026;9100000465;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064553-BOIS-ENERGIE-FRANCE-FACTURE-JUILLET-(3).pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;81893-FRA59250;GD1588348R;HAF;STANDARD - 26/07/19;0,00001;STANDARD;5415,38;EUR;31/07/2026;26/07/19;0,00;;;;;PRN-FVB0064554-lys-bois.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445660;81893-FRA59250;GD1588348R;HAF;STANDARD - 26/07/19;60,02000;STANDARD;492,31;EUR;31/07/2026;26/07/19;10,00;;;DED_10.00D;;PRN-FVB0064554-lys-bois.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;81893-FRA59250;GD1588348R;HAF;STANDARD - 26/07/19;60,02000;STANDARD;4923,07;EUR;31/07/2026;26/07/19;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064554-lys-bois.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;66826-FRA60200;GN1583441P;HAF;STANDARD - 202607036;0,00001;STANDARD;25100,85;EUR;31/07/2026;202607036;0,00;;;;;PRN-FVB0064555-f202607036-bef.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445660;66826-FRA60200;GN1583441P;HAF;STANDARD - 202607036;215,50000;STANDARD;2281,90;EUR;31/07/2026;202607036;10,00;;;DED_10.00D;;PRN-FVB0064555-f202607036-bef.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;66826-FRA60200;GN1583441P;HAF;STANDARD - 202607036;215,50000;STANDARD;22818,95;EUR;31/07/2026;202607036;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064555-f202607036-bef.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;66826-FRA60200;GN1621220W;HAF;STANDARD - 202607035;0,00001;STANDARD;2844,58;EUR;31/07/2026;202607035;0,00;;;;;PRN-FVB0064556-f202607035-bef.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445660;66826-FRA60200;GN1621220W;HAF;STANDARD - 202607035;25,00000;STANDARD;258,60;EUR;31/07/2026;202607035;10,00;;;DED_10.00D;;PRN-FVB0064556-f202607035-bef.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;66826-FRA60200;GN1621220W;HAF;STANDARD - 202607035;25,00000;STANDARD;2585,98;EUR;31/07/2026;202607035;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064556-f202607035-bef.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;66826-FRA60200;GN1583440N;HAF;STANDARD - 202607034;0,00001;STANDARD;6433,37;EUR;31/07/2026;202607034;0,00;;;;;PRN-FVB0064557-f202607034-bef.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445660;66826-FRA60200;GN1583440N;HAF;STANDARD - 202607034;53,32000;STANDARD;584,85;EUR;31/07/2026;202607034;10,00;;;DED_10.00D;;PRN-FVB0064557-f202607034-bef.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;66826-FRA60200;GN1583440N;HAF;STANDARD - 202607034;53,32000;STANDARD;5848,52;EUR;31/07/2026;202607034;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064557-f202607034-bef.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;80143-FRA50750;GN1583540C;HAF;STANDARD - 5926;0,00001;STANDARD;1366,13;EUR;30/06/2026;5926;0,00;;;;;PRN-FVB0064558-FACTURE-5926-OCTEVILLE.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445660;80143-FRA50750;GN1583540C;HAF;STANDARD - 5926;7,92000;STANDARD;124,19;EUR;30/06/2026;5926;10,00;;;DED_10.00D;;PRN-FVB0064558-FACTURE-5926-OCTEVILLE.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;80143-FRA50750;GN1583540C;HAF;STANDARD - 5926;7,92000;STANDARD;1241,94;EUR;30/06/2026;5926;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064558-FACTURE-5926-OCTEVILLE.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;80143-FRA50750;GN0062885K;HAF;STANDARD - 5927;0,00001;STANDARD;896,95;EUR;30/06/2026;5927;0,00;;;;;PRN-FVB0064559-haiecobois-5927.pdf;PRN;B00000003D;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445660;80143-FRA50750;GN0062885K;HAF;STANDARD - 5927;5,20000;STANDARD;81,54;EUR;30/06/2026;5927;10,00;;;DED_10.00D;;PRN-FVB0064559-haiecobois-5927.pdf;PRN;B00000003D;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;80143-FRA50750;GN0062885K;HAF;STANDARD - 5927;5,20000;STANDARD;815,41;EUR;30/06/2026;5927;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064559-haiecobois-5927.pdf;PRN;B00000003D;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;80143-FRA50750;GN1289917P;HAF;STANDARD - 5928;0,00001;STANDARD;1469,53;EUR;30/06/2026;5928;0,00;;;;;PRN-FVB0064560-haiecobois-5928.pdf;PRN;B00000003D;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445660;80143-FRA50750;GN1289917P;HAF;STANDARD - 5928;8,06000;STANDARD;133,59;EUR;30/06/2026;5928;10,00;;;DED_10.00D;;PRN-FVB0064560-haiecobois-5928.pdf;PRN;B00000003D;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;80143-FRA50750;GN1289917P;HAF;STANDARD - 5928;8,06000;STANDARD;1335,94;EUR;30/06/2026;5928;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064560-haiecobois-5928.pdf;PRN;B00000003D;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401050;63107-FRA54320;GD1588348R;HAF;STANDARD - 739-1182;0,00001;STANDARD;27447,73;EUR;24/08/2026;739-1182;0,00;;;;;PRN-FVB0064561-FOR-EST.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445660;63107-FRA54320;GD1588348R;HAF;STANDARD - 739-1182;284,66000;STANDARD;2495,25;EUR;24/08/2026;739-1182;10,00;;;DED_10.00D;;PRN-FVB0064561-FOR-EST.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;63107-FRA54320;GD1588348R;HAF;STANDARD - 739-1182;284,66000;STANDARD;24952,48;EUR;24/08/2026;739-1182;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064561-FOR-EST.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;66826-FRA60200;GN1583467V;HAF;STANDARD - 202607033;0,00001;STANDARD;13189,14;EUR;31/07/2026;202607033;0,00;;;;;PRN-FVB0064562-f202607033.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445660;66826-FRA60200;GN1583467V;HAF;STANDARD - 202607033;113,38000;STANDARD;1199,01;EUR;31/07/2026;202607033;10,00;;;DED_10.00D;;PRN-FVB0064562-f202607033.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;66826-FRA60200;GN1583467V;HAF;STANDARD - 202607033;113,38000;STANDARD;11990,13;EUR;31/07/2026;202607033;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064562-f202607033.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;77669-FRA94704REGLT;GD1588346N;HAF;STANDARD - 2026-07-VCOM7073;0,00001;STANDARD;52377,86;EUR;31/07/2026;2026-07-VCOM7073;0,00;;;;;PRN-FVB0064563-ONF-7073.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445660;77669-FRA94704REGLT;GD1588346N;HAF;STANDARD - 2026-07-VCOM7073;577,26000;STANDARD;4761,65;EUR;31/07/2026;2026-07-VCOM7073;10,00;;;DED_10.00D;;PRN-FVB0064563-ONF-7073.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;77669-FRA94704REGLT;GD1588346N;HAF;STANDARD - 2026-07-VCOM7073;577,26000;STANDARD;47616,21;EUR;31/07/2026;2026-07-VCOM7073;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064563-ONF-7073.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;103732-FRA27300;GN1583444T;HAF;STANDARD - VENTE-2026-0000075;0,00001;STANDARD;15982,90;EUR;31/07/2026;VENTE-2026-0000075;0,00;;;;;PRN-FVB0064564-PRO-LOGS.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445660;103732-FRA27300;GN1583444T;HAF;STANDARD - VENTE-2026-0000075;131,48000;STANDARD;1452,99;EUR;31/07/2026;VENTE-2026-0000075;10,00;;;DED_10.00D;;PRN-FVB0064564-PRO-LOGS.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;103732-FRA27300;GN1583444T;HAF;STANDARD - VENTE-2026-0000075;131,48000;STANDARD;14529,91;EUR;31/07/2026;VENTE-2026-0000075;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064564-PRO-LOGS.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;77669-FRA94704REGLT;GN1583467V;HAF;STANDARD - 2026-07-VCOM7024;0,00001;STANDARD;13054,84;EUR;31/07/2026;2026-07-VCOM7024;0,00;;;;;PRN-FVB0064565-ONF-7024.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;445660;77669-FRA94704REGLT;GN1583467V;HAF;STANDARD - 2026-07-VCOM7024;111,74000;STANDARD;1186,81;EUR;31/07/2026;2026-07-VCOM7024;10,00;;;DED_10.00D;;PRN-FVB0064565-ONF-7024.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;602210;77669-FRA94704REGLT;GN1583467V;HAF;STANDARD - 2026-07-VCOM7024;111,74000;STANDARD;11868,03;EUR;31/07/2026;2026-07-VCOM7024;10,00;UC ACHAT BIOMASSE;;;;PRN-FVB0064565-ONF-7024.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
26/08/2026;0367;401100;77669-FRA94704REGLT;GN1583992R;HAF;STANDARD - 2026-07-VCOM7035;0,00001;STANDARD;7790,10;EUR;31/07/2026;2026-07-VCOM7035;0,00;;;;;PRN-FVB0064566-ONF-7035.pdf;PRN;B00000001B;PRN01_SRC_FACTURESFOURNISSEURS_20260826_205624;PIRENE
